ticker,variant,kind,note,out_of_market_ticker,start,end,observations,long_window,short_window,entry_days_long,entry_days_short,exit_days_long,exit_days_short,window,entry_days,exit_days,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
DGRW,hybridL150_S20_eL3_eS2_xL2_xS1,hybrid,Shorter long filter benchmark.,,2013-05-22,2026-03-26,3231,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.0920667726230815,0.09379809065849105,0.10674267851292632,0.8787309065617304,0.8787309065617304,-0.16485884388613098,5.437834033176861,3.093209256219715,2.093209256219715
DGRW,baseline_buyhold,baseline,total return buy and hold,,2013-05-22,2026-03-26,3231,,,,,,,,,,0.12375563427923764,0.12882174126949766,0.15547870108959505,0.8285491219486312,0.8285491219486312,-0.3203582673848715,4.897956348540345,4.463606674657946,3.463606674657946
EQWL,hybridL150_S20_eL3_eS2_xL2_xS1_SHY,hybrid,Shorter long filter plus SHY parking asset.,SHY,2006-12-01,2026-03-26,4858,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.10498415320175547,0.10662452656986006,0.1162979110862007,0.9168223708749965,0.9168223708749965,-0.16124969823568797,6.020036476179803,6.851857032842727,5.851857032842727
EQWL,hybridL200_S20_eL3_eS2_xL2_xS1_SHY,hybrid,"Same signals, park in SHY instead of cash when out.",SHY,2006-12-01,2026-03-26,4858,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.10424601923048304,0.10618331696691,0.11818420114105427,0.8984561044684725,0.8984561044684725,-0.14402747367059482,5.087663976464458,6.7641579145401485,5.7641579145401485
EQWL,hybridL200_S20_eL2_eS2_xL2_xS1_SHY,hybrid,Faster bull entry plus SHY parking asset.,SHY,2006-12-01,2026-03-26,4858,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.1036276260212301,0.10569908091180794,0.11882557254333262,0.8895314253441718,0.8895314253441718,-0.14393948691957684,5.483611326476015,6.691505779585795,5.691505779585795
EQWL,hybridL150_S20_eL3_eS2_xL2_xS1,hybrid,Shorter long filter benchmark.,,2006-12-01,2026-03-26,4858,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.09843398436194639,0.10063215463679566,0.11591503260242268,0.8681544781336016,0.8681544781336016,-0.18656545815388217,6.686524842321824,6.109861420972886,5.109861420972886
EQWL,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Current zero-cash benchmark.,,2006-12-01,2026-03-26,4858,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.09722111650903464,0.09975314802052596,0.11779836334815764,0.8468126821567262,0.8468126821567262,-0.15071097175013964,5.554937786927792,5.981110256395361,4.981110256395361
EQWL,baseline_buyhold,baseline,total return buy and hold,,2006-12-01,2026-03-26,4858,,,,,,,,,,0.101872665638022,0.1136559102920392,0.18194953974819197,0.6246562120977753,0.6246562120977753,-0.49360519380734885,11.455912453636644,6.489331366605593,5.489331366605593
IWY,hybridL200_S20_eL2_eS2_xL2_xS1_SHY,hybrid,Faster bull entry plus SHY parking asset.,SHY,2009-09-28,2026-03-26,4149,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.14658131024198684,0.14745325443396687,0.14554195578869106,1.0131322863906733,1.0131322863906733,-0.24644787480709995,6.535224075869657,9.507329814589417,8.507329814589417
IWY,hybridL200_S20_eL3_eS2_xL2_xS1_SHY,hybrid,"Same signals, park in SHY instead of cash when out.",SHY,2009-09-28,2026-03-26,4149,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.14443503754478804,0.14554234968235466,0.145291830872538,1.0017242456668913,1.0017242456668913,-0.24644787480710004,6.759167224974064,9.218523350468963,8.218523350468963
IWY,hybridL150_S20_eL3_eS2_xL2_xS1_SHY,hybrid,Shorter long filter plus SHY parking asset.,SHY,2009-09-28,2026-03-26,4149,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.13727799795588624,0.13838917774051393,0.13925667853180235,0.9937704905758592,0.9937704905758592,-0.2149572798180532,5.918693440056858,8.313890071245048,7.313890071245048
IWY,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Current zero-cash benchmark.,,2009-09-28,2026-03-26,4149,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.14186809718091875,0.14326871209859598,0.1451067632847038,0.9873331115345638,0.9873331115345638,-0.24592340784782135,6.657124677401671,8.883933243437214,7.883933243437214
IWY,hybridL150_S20_eL3_eS2_xL2_xS1,hybrid,Shorter long filter benchmark.,,2009-09-28,2026-03-26,4149,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.1348690268629178,0.1362383818404388,0.13904669845463977,0.9798030687142342,0.9798030687142342,-0.21783541082012878,5.8739983377075236,8.028647979185699,7.028647979185699
IWY,baseline_buyhold,baseline,total return buy and hold,,2009-09-28,2026-03-26,4149,,,,,,,,,,0.16270746176451278,0.16869393598749768,0.18905432436977027,0.8923040324512769,0.8923040324512769,-0.3268444106356291,8.229888978298874,11.965320956690475,10.965320956690475
QQQM,hybridL150_S20_eL3_eS2_xL2_xS1,hybrid,Shorter long filter benchmark.,,2020-10-13,2026-03-26,1369,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.16128467374207256,0.1609049486800667,0.15063580961193512,1.0681719645188401,1.0681719645188401,-0.14326839846238854,5.42441759364276,2.253108127895683,1.253108127895683
QQQM,hybridL150_S20_eL3_eS2_xL2_xS1_SHY,hybrid,Shorter long filter plus SHY parking asset.,SHY,2020-10-13,2026-03-26,1369,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.1594820828414587,0.1594024755441825,0.15098040180436037,1.0557825627642414,1.0557825627642414,-0.14646464474239926,5.721978790462965,2.234173819130735,1.234173819130735
QQQM,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Current zero-cash benchmark.,,2020-10-13,2026-03-26,1369,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.1468106577858843,0.14856971149801962,0.1520433045345098,0.977153923041039,0.977153923041039,-0.1574392712645623,6.216785036970913,2.1047045101220077,1.1047045101220077
