window,variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn
2022-06-24_2025-10-01,"set_[100, 200, 221]__x100_1_200_1_221_1",0.1940087546885223,0.18617453388211008,0.13261894532935795,1.1776185785089155,-0.12619550140734692,4.213480774278691,1.7819092483976522
2022-06-24_2025-10-01,sma100_3in_1out,0.1780670187594151,0.1735351660115931,0.13867297452116986,1.0350622859804668,-0.13922306131700748,5.035487025716457,1.7055613016463314
2022-06-24_2025-10-01,sma100_3in_0out,0.0996894393010399,0.10026953052099127,0.10224031110113585,0.6872976985709761,-0.14723151268694362,5.368076063480273,1.3628724637614706
2022-06-24_2025-10-01,sma200_3in_1out,0.20937686583318116,0.19991258371557052,0.13953742157452625,1.2176847027721598,-0.135577402391762,3.9385087925142246,1.8577216209108982
2022-06-24_2025-10-01,sma200_3in_0out,0.1681259963878179,0.16024968226701786,0.0980429461906658,1.328496208322005,-0.0998874342150605,2.412976444289888,1.659117416180788
2022-06-24_2025-10-01,baseline_buyhold,0.25401984005342326,0.25034468499143253,0.21928420073693825,1.0048361179279235,-0.2276831136705132,7.576132490084511,2.0905931275120055
2019-05-09_2025-10-01,"set_[100, 200]__x100_0_200_0",0.11273790727121447,0.11048835189390259,0.08532381753369032,0.9433280673608113,-0.14383882586799354,4.205174985027794,1.977948035574279
2019-05-09_2025-10-01,"set_[100, 200]__x100_0_200_1",0.14426983754147105,0.14215845420845802,0.12116841143144891,0.9256410386457179,-0.11018635976233106,4.515825535043162,2.3642832742897593
2019-05-09_2025-10-01,"set_[100, 200]__x100_1_200_0",0.14201257052015293,0.1399882456932031,0.1194785384580004,0.9205690587842822,-0.14507583700579285,4.628550186360165,2.3346620269073006
2019-05-09_2025-10-01,"set_[100, 200]__x100_1_200_1",0.17395913023648157,0.17165834800775853,0.14959748975848844,0.9469299801517598,-0.12754355595194872,5.245546591056407,2.7843814728482528
2019-05-09_2025-10-01,"set_[100, 200, 221]__x100_0_200_0_221_0",0.09621753445892356,0.09552291166152814,0.08526339013005181,0.7684765004251694,-0.14932230754485956,5.454006337130494,1.7977841505087582
2019-05-09_2025-10-01,"set_[100, 200, 221]__x100_0_200_0_221_1",0.1385048607142687,0.13518870467017577,0.10423879173113552,1.0091128544687122,-0.11529431191771558,4.1191262074444746,2.28925302135044
2019-05-09_2025-10-01,"set_[100, 200, 221]__x100_0_200_1_221_0",0.11711056031362332,0.1166363132045651,0.10821298895801452,0.8006091878506292,-0.12288812575091584,4.781015016697056,2.0281036532161894
2019-05-09_2025-10-01,"set_[100, 200, 221]__x100_0_200_1_221_1",0.15936541568126095,0.15630210621321267,0.12939444193888006,0.9761014794814136,-0.13073090629331918,5.438491798886334,2.570643076554169
2019-05-09_2025-10-01,"set_[100, 200, 221]__x100_1_200_0_221_0",0.11552391993528377,0.11518950752772848,0.10790796360648947,0.7894645092033346,-0.1484366970137547,5.527452271541834,2.0097818812247983
2019-05-09_2025-10-01,"set_[100, 200, 221]__x100_1_200_0_221_1",0.15810562206959444,0.1548553005363761,0.12653944435873352,0.9866907600954615,-0.12931657638011634,4.949148031724713,2.5528600411409155
2019-05-09_2025-10-01,"set_[100, 200, 221]__x100_1_200_1_221_0",0.13660625837220985,0.13630290907076542,0.12804931160856559,0.8301716560236042,-0.12931657638011582,5.367482989486166,2.264986987018564
2019-05-09_2025-10-01,"set_[100, 200, 221]__x100_1_200_1_221_1",0.17914033055656886,0.17596870207941306,0.14900241337875805,0.9796398512577549,-0.1384641841886513,5.876270812089084,2.863782290285001
2019-05-09_2025-10-01,sma100_3in_1out,0.15450807116737497,0.15522313463285167,0.1514611912987025,0.8267671312969819,-0.17174925060671795,6.015679716975027,2.5026477302351156
2019-05-09_2025-10-01,sma100_3in_0out,0.0945505668179627,0.09622334703425073,0.10818457027493401,0.6121330136631735,-0.15032917167175883,5.429676809629282,1.780400312892442
2019-05-09_2025-10-01,sma200_3in_1out,0.1912444772590307,0.18809356138266534,0.1612481295835016,0.9804365594256232,-0.14404982905981997,5.680232614115272,3.0567485583165763
2019-05-09_2025-10-01,sma200_3in_0out,0.1253672249057043,0.12475335675355452,0.1149716650994242,0.8241452941610833,-0.16759207271125062,6.1817664875983604,2.125738293276807
2019-05-09_2025-10-01,baseline_buyhold,0.211312191067069,0.2225475821135841,0.24790672008143244,0.7766936775668527,-0.3511872170313983,12.437491459290145,3.4008189748646593
2015-08-24_2025-10-01,"set_[100, 200]__x100_0_200_0",0.10123712674328389,0.09961845560434734,0.07951448886199573,0.8755442762787068,-0.14383882586799365,3.606463384973819,2.6452377416809285
2015-08-24_2025-10-01,"set_[100, 200]__x100_0_200_1",0.12584529501231434,0.12517072220185663,0.11480303935384298,0.8289913118808978,-0.118803559347368,4.58369931231415,3.305836312870513
2015-08-24_2025-10-01,"set_[100, 200]__x100_1_200_0",0.12431938243197638,0.12337861774802973,0.1108970951070351,0.8420294296969909,-0.14507583700579266,4.353684462461029,3.2609168719678063
2015-08-24_2025-10-01,"set_[100, 200]__x100_1_200_1",0.149040730879046,0.14893088434553903,0.14089248538046814,0.8441251073424982,-0.1666746933077117,5.606748127399117,4.060893644411658
2015-08-24_2025-10-01,"set_[100, 200, 221]__x100_0_200_0_221_0",0.09774445814874078,0.09667088071929296,0.08233599796092848,0.8097415756220115,-0.14932230754486028,4.668281303591906,2.5618184943910665
2015-08-24_2025-10-01,"set_[100, 200, 221]__x100_0_200_0_221_1",0.1228757098679798,0.12098064105041258,0.10051467538934117,0.9051478373481411,-0.11529431191771547,4.183467468645822,3.2189253762598065
2015-08-24_2025-10-01,"set_[100, 200, 221]__x100_0_200_1_221_0",0.11448573818320873,0.11370572511763248,0.10273441852822912,0.8147778156220549,-0.12288812575091544,4.59468872159986,2.9843848919235256
2015-08-24_2025-10-01,"set_[100, 200, 221]__x100_0_200_1_221_1",0.13890288533775141,0.1380154854487521,0.1256425365791015,0.8597047495992585,-0.13693994716602867,5.697208120792297,3.7136272514580955
