combo,roles,growth,momentum,div1,div1_role,div2,div2_role,start,end,n_obs,sharpe,cagr,maxdd,calmar,ulcer,z_sharpe,z_cagr,z_maxdd,score,rank,avg_corr
"MGK,XMMO,GSLC,IMTM","large_growth,momentum,quality,international",MGK,XMMO,GSLC,quality,IMTM,international,2015-12-02,2026-06-23,2653,1.1495428909468512,0.1451139023663086,-0.19331141337038069,0.7506742609567153,5.180069812095498,0.2371643455606501,0.36319862313177725,-2.3105694124661516,-0.4956472124546085,4658,
"IWY,MTUM,EQWL,DGRW","large_growth,momentum,broad_control,dividend_growth",IWY,MTUM,EQWL,broad_control,DGRW,dividend_growth,2015-12-02,2026-06-23,2653,1.139550715046806,0.1401070944956262,-0.18214132923526877,0.7692218733874084,5.007194347825263,0.059876204729041406,-0.19749328932867258,-1.5788446670995662,-0.49608243033396937,4659,
"IUSG,PDP,QUAL,XLF","large_growth,momentum,quality,sector",IUSG,PDP,QUAL,quality,XLF,sector,2015-12-02,2026-06-23,2653,1.0892521562233695,0.13715776523399814,-0.15751894291388527,0.8707382280300188,4.866310558757928,-0.8325558410555055,-0.5277765969548565,0.03410731637728137,-0.4963620828005072,4660,
"VONG,MTUM,DGRO,IMTM","large_growth,momentum,quality,international",VONG,MTUM,DGRO,quality,IMTM,international,2015-12-02,2026-06-23,2653,1.1344957298494098,0.13736959201809795,-0.17621337504201506,0.7795639348338032,4.458518752324428,-0.029812861650747317,-0.5040549827537742,-1.1905189642547247,-0.4965852227076972,4661,
"IWF,MTUM,SPY,IMTM","large_growth,momentum,broad_control,international",IWF,MTUM,SPY,broad_control,IMTM,international,2015-12-02,2026-06-23,2653,1.1177703321483972,0.14243325575865073,-0.17668043496720595,0.8061631486536022,4.698851660964141,-0.3265665109803579,0.06300398577025727,-1.2211149114917699,-0.4975384069461277,4662,
"VUG,PDP,RSP,EFG","large_growth,momentum,broad_control,international",VUG,PDP,RSP,broad_control,EFG,international,2015-12-02,2026-06-23,2653,1.0831969791754905,0.1337338972860349,-0.15024574228010365,0.8901010787827475,4.680019417556373,-0.9399910075260869,-0.9112015490079667,0.5105568056899793,-0.497629298931737,4663,
"SPYG,PDP,OEF,INDA","large_growth,momentum,broad_control,international",SPYG,PDP,OEF,broad_control,INDA,international,2015-12-02,2026-06-23,2653,1.081265992761588,0.13104192817305504,-0.14563211868943188,0.8998147479575492,4.729438639522361,-0.9742519127299604,-1.2126641473791355,0.8127839425912851,-0.4977442147958806,4664,
"SPYG,XMMO,GSLC,EFG","large_growth,momentum,quality,international",SPYG,XMMO,GSLC,quality,EFG,international,2015-12-02,2026-06-23,2653,1.1042882085280334,0.13612629438478985,-0.16230989967325152,0.8386814030372006,5.3576392699715765,-0.5657757337789067,-0.6432867938761887,-0.2797364803574211,-0.4993417227767815,4665,
"VUG,MTUM,SPY,IMTM","large_growth,momentum,broad_control,international",VUG,MTUM,SPY,broad_control,IMTM,international,2015-12-02,2026-06-23,2653,1.119320742026925,0.14309989097151,-0.17840013789888542,0.8021288136706313,4.773004423968931,-0.2990580596039228,0.13765773364027303,-1.333768421937036,-0.5002922199928078,4666,
"VUG,MTUM,GSLC,LRGF","large_growth,momentum,quality,multifactor",VUG,MTUM,GSLC,quality,LRGF,multifactor,2015-12-02,2026-06-23,2653,1.0944527926046805,0.1410647554068425,-0.16542417085921524,0.8527457304101956,5.266063909131983,-0.7402825299762144,-0.09024876513939176,-0.4837447280114092,-0.5008127481775672,4667,
