combo,start,end,n_obs,sharpe,cagr,maxdd,calmar,ulcer,z_sharpe,z_cagr,z_maxdd,blended_score,combo_rank,avg_corr
"IYW,SMH,SPMO,XMMO",2015-12-02,2026-06-23,2653,1.3636038344776555,0.24555610012313278,-0.21937547874209093,1.1193416034060084,6.779221979378991,2.7263501100722936,1.3538770067651282,-0.1441471354036701,1.740508729984951,21,0.8074827148210032
"SMH,SPMO,XLK,XMMO",2015-12-02,2026-06-23,2653,1.3626788056730486,0.2458521339726516,-0.21833695639092152,1.1260216228922122,6.433736124326665,2.7050625737531404,1.3651250499025283,-0.10796877858209945,1.7404750461309089,22,0.8109002124401569
"IGM,SMH,XLK,XMMO",2015-12-02,2026-06-23,2653,1.3503419638732383,0.2626220997138844,-0.22572474492780872,1.163461718819867,6.969360802297363,2.421156854742922,2.002313325421392,-0.36533257003911546,1.7382059109900556,23,0.8541012716220774
"IGM,MGC,SMH,XMMO",2015-12-02,2026-06-23,2653,1.3583801526421106,0.23831981376423017,-0.19978720612572615,1.1928682440969491,6.581284279222817,2.6061383758646133,1.0789285126931971,0.5382373269384808,1.734395207127962,24,0.8410776909955856
"IWF,MGC,SMH,SPMO",2015-12-02,2026-06-23,2653,1.3580787532824241,0.2235105765972798,-0.17557418955491932,1.273026389379209,5.8654934602976,2.5992023217829,0.5162396892474972,1.381731116204412,1.7308192909065816,25,0.854682707999611
"IWF,SMH,VONG,XMMO",2015-12-02,2026-06-23,2653,1.352144804098146,0.23486187494981614,-0.18443280328020104,1.2734278868656588,6.054241726360948,2.4626453214525177,0.9475413587773867,1.073129103029807,1.7302108889654362,26,0.8502490189411102
"SMH,VONG,VUG,XMMO",2015-12-02,2026-06-23,2653,1.3529500768677045,0.23556785100588984,-0.1876051528645532,1.2556576800209995,6.1114693061502665,2.4811769317585166,0.9743654842805876,0.9626159348767878,1.7254212981387922,27,0.8487421828436896
"IGM,IYW,SMH,XMMO",2015-12-02,2026-06-23,2653,1.3493637450573073,0.26226884759702407,-0.22672046072333893,1.1567939071765734,7.365942131707472,2.3986452654080805,1.988891228403496,-0.40001970152261435,1.7159860609205662,28,0.8550888596726568
"MGC,SMH,SPMO,VUG",2015-12-02,2026-06-23,2653,1.3583963774018764,0.22420207721562768,-0.18198995588356875,1.2319475331872978,5.930580804601199,2.606511753602757,0.5425138089042811,1.158229057476132,1.6976558309678893,29,0.8525068408379309
"IGM,IWY,SMH,SPMO",2015-12-02,2026-06-23,2653,1.3500387464097932,0.24723954949606286,-0.20610817654910996,1.1995620631632362,6.5921818186466234,2.414178960937298,1.4178410135742308,0.3180376141655496,1.696049307374028,30,0.8603907573596544
"SMH,SPMO,VUG,XLK",2015-12-02,2026-06-23,2653,1.3518896556739919,0.24849851395541145,-0.21191035162395866,1.1726586835001793,6.437022480418427,2.4567736325722294,1.465676376220171,0.11591085207638503,1.691271899567443,31,0.862785042352686
"IWF,SMH,SPMO,XLK",2015-12-02,2026-06-23,2653,1.3511714406598911,0.24779095812085195,-0.2095946413315847,1.1822389949790728,6.372612454788612,2.4402454681286083,1.4387922257685233,0.19658181034565197,1.6910767638639914,32,0.8646090254568314
"IGM,IWF,SMH,VUG",2015-12-02,2026-06-23,2653,1.3367209961537332,0.25240600347829556,-0.19395822763387552,1.3013420804955422,6.380705767817707,2.107699756340268,1.614144569245324,0.7412978229845901,1.6863528135406491,33,0.9240291192982527
"IGM,SMH,SPMO,SPYG",2015-12-02,2026-06-23,2653,1.3496601143998623,0.24427227478492397,-0.20231596864302287,1.2073801016465044,6.595605249955881,2.40546556452969,1.305097035121575,0.45014440090298713,1.684290772981915,34,0.8656062071816386
"IGM,MGK,SMH,SPMO",2015-12-02,2026-06-23,2653,1.3497363691667628,0.24852046434040442,-0.2094907470252713,1.18630759529644,6.505448176911824,2.4072204029864137,1.4665103986729575,0.2002011116358974,1.6836035434222736,35,0.8611796620009909
"MGC,SMH,SPMO,VONG",2015-12-02,2026-06-23,2653,1.355942814159946,0.22322641911628538,-0.17905002227220793,1.2467265643615308,5.965476855776601,2.5500483047200806,0.5054428982412141,1.2606456950225204,1.6787861608369088,36,0.8537091490261409
"IGM,SMH,SPMO,VGT",2015-12-02,2026-06-23,2653,1.3423795171035453,0.2595369052618064,-0.21670619397516444,1.1976441489787346,6.913435891946083,2.237918371838402,1.8850888919971511,-0.051158923212080855,1.67425406887593,37,0.8711727869321507
"IGM,IWF,SMH,VONG",2015-12-02,2026-06-23,2653,1.3352241103339249,0.2514388002265584,-0.19215790505921954,1.308500944309679,6.411180685132554,2.073252168226151,1.5773949072865434,0.8040145400841221,1.670647464315863,38,0.923638307862164
"IWF,IYW,SMH,SPMO",2015-12-02,2026-06-23,2653,1.3502228362551683,0.24744349256580334,-0.21061370056858894,1.1748689277942785,6.597691142150544,2.4184153903867296,1.4255899937997802,0.16108147791935193,1.669100988917169,39,0.862919621180759
