variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,group
"set_[100, 150, 200]__x100_1_150_1_200_1",0.0854376531313703,0.08700666390046265,0.10460119886198724,0.5070456010821182,0.80167158947089,-0.1365292191533806,5.589334074534702,1.5254508609921764,0.5254508609921763,2.0,5.0,0.0041841004184100415,0.010460251046025104,strategy
"set_[100, 200]__x100_1_200_1",0.0841184930470243,0.08577227098474437,0.103917561062363,0.5013137938259606,0.798107285645986,-0.13105092657298553,5.2771332848914,1.514651197662049,0.5146511976620489,0.0,22.0,0.0,0.04602510460251046,strategy
"set_[100, 200, 250]__x100_1_200_1_250_0",0.07720637430461463,0.07788228013846248,0.0881188863526578,0.5011583849430832,0.8517072159506264,-0.10658083377519782,4.414546098838005,1.4649408217467381,0.4649408217467381,0.0,0.0,0.0,0.0,strategy
sma100_3in_0out,0.06731074583554111,0.06791984652594017,0.07690150798884798,0.49955540565894624,0.8984753512680491,-0.1024724395759237,3.4138632715799737,1.3916767756992348,0.3916767756992346,88.0,28.0,0.18410041841004185,0.058577405857740586,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.08188364944149083,0.08377266253795561,0.10370439702151021,0.4856934641033245,0.7837019721462155,-0.1401510457843611,5.6174681195627505,1.496890469865887,0.4968904698658869,9.0,4.0,0.01882845188284519,0.008368200836820083,strategy
"set_[100, 150, 200]__x100_1_150_1_200_0",0.07557289135053835,0.07625691083021686,0.08874806481156645,0.4718795358818157,0.8192303372015516,-0.12070595359414227,4.972602495321054,1.4586696296067212,0.45866962960672125,12.0,0.0,0.02510460251046025,0.0,strategy
"set_[100, 150, 200]__x100_1_150_0_200_0",0.06906947412887253,0.06905867069360556,0.07485794842885816,0.464794368670905,0.8769111933385063,-0.09470630739414655,3.9556676438296803,1.414075944136739,0.414075944136739,13.0,0.0,0.027196652719665274,0.0,strategy
"set_[100, 200, 250]__x100_1_200_0_250_1",0.07207423218358623,0.07302290946770984,0.08745557660256446,0.44758503056430393,0.8010250882965769,-0.12069965765119625,5.01914021612928,1.4312745740759452,0.43127457407594505,0.0,0.0,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_0_250_0",0.06692686194687336,0.0671325270682167,0.07472107810249064,0.4355427145518695,0.8527084669506242,-0.09300093459100173,3.812877125479057,1.3984693821332557,0.3984693821332557,12.0,0.0,0.02510460251046025,0.0,strategy
"set_[100, 200]__x100_1_200_0",0.06907455366351693,0.06964764137937571,0.08229143590069642,0.42863690165992197,0.8036447745628578,-0.11352744349942145,4.561896547369181,1.4146632804966857,0.41466328049668577,0.0,0.0,0.0,0.0,strategy
sma100_3in_1out,0.07349026389010721,0.07627624986162575,0.10791372111432065,0.3911808634438842,0.6762458955976797,-0.15290631267359628,6.373932079731085,1.4435417284081342,0.44354172840813444,18.0,34.0,0.03765690376569038,0.07112970711297072,strategy
sma200_3in_0out,0.06251946058915867,0.06301903289712568,0.07894144086387471,0.3589689324869501,0.7514677050396131,-0.11873685992598525,4.726313445435697,1.3782518502027084,0.37825185020270835,67.0,54.0,0.1401673640167364,0.11297071129707113,strategy
baseline_buyhold,0.11778070168940179,0.12874141647492915,0.19198055118581886,0.5505168943123849,0.715660665835783,-0.3071291982336493,9.68295460991928,1.8103333983666594,0.8103333983666595,,,,,baseline
