variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,is_baseline
hybridL200_S15_cd1_eL2_eS3_xL2_xS2,0.09013606036942275,0.09271589011997948,0.11874738679265213,0.7663737887917647,0.7663737887917647,-0.16601640128358627,5.84482669406778,1.5647007807674649,0.5647007807674648,32.0,14.0,0.64,0.28,False
hybridL200_S15_cd2_eL2_eS3_xL2_xS2,0.09013606036942275,0.09271589011997948,0.11874738679265213,0.7663737887917647,0.7663737887917647,-0.16601640128358627,5.84482669406778,1.5647007807674649,0.5647007807674648,32.0,14.0,0.64,0.28,False
hybridL150_S20_cd2_eL1_eS2_xL1_xS1,0.08946594935244388,0.09185271473520933,0.11656533291726424,0.766244061912353,0.766244061912353,-0.1564652627397354,6.026465517855936,1.5588181390955347,0.5588181390955348,27.0,17.0,0.54,0.34,False
hybridL200_S15_cd0_eL1_eS3_xL2_xS2,0.09067870366163905,0.09337166409923285,0.1197014787424398,0.7662386431384195,0.7662386431384195,-0.16964357600037616,5.941442783809757,1.567133006582943,0.567133006582943,32.0,14.0,0.64,0.28,False
hybridL200_S15_cd1_eL1_eS3_xL2_xS2,0.09067870366163905,0.09337166409923285,0.1197014787424398,0.7662386431384195,0.7662386431384195,-0.16964357600037616,5.941442783809757,1.567133006582943,0.567133006582943,32.0,14.0,0.64,0.28,False
hybridL150_S30_cd0_eL2_eS1_xL1_xS2,0.08816111546392054,0.09061591536563902,0.11579410342405064,0.7661720635914158,0.7661720635914158,-0.15495635052758167,5.686835046333488,1.5475146125673636,0.5475146125673634,31.0,15.0,0.62,0.3,False
hybridL150_S30_cd1_eL2_eS1_xL1_xS2,0.08816111546392054,0.09061591536563902,0.11579410342405064,0.7661720635914158,0.7661720635914158,-0.15495635052758167,5.686835046333488,1.5475146125673636,0.5475146125673634,31.0,15.0,0.62,0.3,False
hybridL150_S20_cd0_eL2_eS3_xL2_xS1,0.09021146897932099,0.09221696090516598,0.11595913418467697,0.7657652229997945,0.7657652229997945,-0.16259625459123608,5.928714230381656,1.572277162871978,0.572277162871978,33.0,18.0,0.66,0.36,False
hybridL150_S20_cd1_eL2_eS3_xL2_xS1,0.09021146897932099,0.09221696090516598,0.11595913418467697,0.7657652229997945,0.7657652229997945,-0.16259625459123608,5.928714230381656,1.572277162871978,0.572277162871978,33.0,18.0,0.66,0.36,False
hybridL150_S20_cd2_eL2_eS3_xL2_xS1,0.09021146897932099,0.09221696090516598,0.11595913418467697,0.7657652229997945,0.7657652229997945,-0.16259625459123608,5.928714230381656,1.572277162871978,0.572277162871978,33.0,18.0,0.66,0.36,False
hybridL250_S20_cd0_eL1_eS2_xL2_xS1,0.08965436520465378,0.09268884807091532,0.11914974251105091,0.7657552596575442,0.7657552596575442,-0.1566267846012552,5.510281407002624,1.5501253844580167,0.5501253844580168,26.0,14.0,0.52,0.28,False
hybridL250_S20_cd1_eL1_eS2_xL2_xS1,0.08965436520465378,0.09268884807091532,0.11914974251105091,0.7657552596575442,0.7657552596575442,-0.1566267846012552,5.510281407002624,1.5501253844580167,0.5501253844580168,26.0,14.0,0.52,0.28,False
hybridL200_S15_cd0_eL2_eS3_xL1_xS2,0.08854639118149503,0.09098436552928071,0.11668364471577489,0.7655335934178545,0.7655335934178545,-0.15807357898512897,5.653934517085523,1.5538138110305855,0.5538138110305855,33.0,14.0,0.66,0.28,False
hybridL200_S15_cd1_eL2_eS3_xL1_xS2,0.08854639118149503,0.09098436552928071,0.11668364471577489,0.7655335934178545,0.7655335934178545,-0.15807357898512897,5.653934517085523,1.5538138110305855,0.5538138110305855,33.0,14.0,0.66,0.28,False
hybridL200_S15_cd2_eL2_eS3_xL1_xS2,0.08854639118149503,0.09098436552928071,0.11668364471577489,0.7655335934178545,0.7655335934178545,-0.15807357898512897,5.653934517085523,1.5538138110305855,0.5538138110305855,33.0,14.0,0.66,0.28,False
hybridL150_S20_cd0_eL1_eS2_xL1_xS2,0.08965877140941374,0.0922943149467304,0.11819296355579294,0.7643960279308608,0.7643960279308608,-0.16382868701360653,6.2422880747637315,1.557967011041825,0.557967011041825,29.0,16.0,0.58,0.32,False
hybridL150_S20_cd1_eL1_eS2_xL1_xS2,0.08965877140941374,0.0922943149467304,0.11819296355579294,0.7643960279308608,0.7643960279308608,-0.16382868701360653,6.2422880747637315,1.557967011041825,0.557967011041825,29.0,16.0,0.58,0.32,False
hybridL150_S30_cd0_eL1_eS1_xL2_xS1,0.09080922390095322,0.09348652478588856,0.11949693552614249,0.7641523581284109,0.7641523581284109,-0.16470680956710193,5.785379594263343,1.566540703848496,0.566540703848496,30.0,15.0,0.6,0.3,False
hybridL150_S30_cd1_eL1_eS1_xL2_xS1,0.09080922390095322,0.09348652478588856,0.11949693552614249,0.7641523581284109,0.7641523581284109,-0.16470680956710193,5.785379594263343,1.566540703848496,0.566540703848496,30.0,15.0,0.6,0.3,False
hybridL150_S20_cd0_eL2_eS3_xL2_xS2,0.09008171781068568,0.09224327434610036,0.11672837662655733,0.7636481223386208,0.7636481223386208,-0.16266995184974867,5.969913472546377,1.5696108352671758,0.5696108352671757,32.0,15.0,0.64,0.3,False
hybridL150_S20_cd1_eL2_eS3_xL2_xS2,0.09008171781068568,0.09224327434610036,0.11672837662655733,0.7636481223386208,0.7636481223386208,-0.16266995184974867,5.969913472546377,1.5696108352671758,0.5696108352671757,32.0,15.0,0.64,0.3,False
hybridL150_S20_cd2_eL2_eS3_xL2_xS2,0.09008171781068568,0.09224327434610036,0.11672837662655733,0.7636481223386208,0.7636481223386208,-0.16266995184974867,5.969913472546377,1.5696108352671758,0.5696108352671757,32.0,15.0,0.64,0.3,False
hybridL200_S20_cd2_eL1_eS1_xL2_xS2,0.09127635559068997,0.09426489262853041,0.12237028252541463,0.7635872528769347,0.7635872528769347,-0.17647769353206666,5.942455046384096,1.5700868079787873,0.5700868079787872,30.0,15.0,0.6,0.3,False
hybridL200_S15_cd2_eL1_eS2_xL2_xS2,0.09160544261534981,0.09427428759157346,0.12153570623148317,0.7628975592620566,0.7628975592620566,-0.17255357996379292,5.8840115881379695,1.5790469373053801,0.5790469373053803,32.0,15.0,0.64,0.3,False
hybridL150_S30_cd2_eL1_eS1_xL2_xS1,0.08994122284153075,0.09259562080528079,0.11857271319502581,0.7627330435620178,0.7627330435620178,-0.16525618648189802,5.78268048482077,1.5598302044385794,0.5598302044385796,29.0,15.0,0.58,0.3,False
hybridL150_S30_cd0_eL3_eS1_xL1_xS1,0.08706847303630791,0.08932982868465594,0.11396942227845316,0.761724954151799,0.761724954151799,-0.15438147882726952,5.698338366125497,1.5422444980210228,0.5422444980210227,31.0,15.0,0.62,0.3,False
hybridL150_S30_cd1_eL3_eS1_xL1_xS1,0.08706847303630791,0.08932982868465594,0.11396942227845316,0.761724954151799,0.761724954151799,-0.15438147882726952,5.698338366125497,1.5422444980210228,0.5422444980210227,31.0,15.0,0.62,0.3,False
hybridL200_S20_cd0_eL3_eS1_xL1_xS1,0.08840991447544687,0.09098052669557828,0.11790523425019775,0.7616268464036129,0.7616268464036129,-0.16074841010513763,5.719848992238899,1.5525477050231096,0.5525477050231096,28.0,12.0,0.56,0.24,False
hybridL200_S20_cd1_eL3_eS1_xL1_xS1,0.08840991447544687,0.09098052669557828,0.11790523425019775,0.7616268464036129,0.7616268464036129,-0.16074841010513763,5.719848992238899,1.5525477050231096,0.5525477050231096,28.0,12.0,0.56,0.24,False
hybridL200_S15_cd0_eL3_eS2_xL2_xS2,0.09069138176250428,0.09329731834765782,0.12058627718033872,0.7614336012836069,0.7614336012836069,-0.17016946364090146,5.791161392591562,1.573155852586252,0.5731558525862518,32.0,14.0,0.64,0.28,False
hybridL200_S15_cd1_eL3_eS2_xL2_xS2,0.09069138176250428,0.09329731834765782,0.12058627718033872,0.7614336012836069,0.7614336012836069,-0.17016946364090146,5.791161392591562,1.573155852586252,0.5731558525862518,32.0,14.0,0.64,0.28,False
hybridL200_S15_cd2_eL3_eS2_xL2_xS2,0.09069138176250428,0.09329731834765782,0.12058627718033872,0.7614336012836069,0.7614336012836069,-0.17016946364090146,5.791161392591562,1.573155852586252,0.5731558525862518,32.0,14.0,0.64,0.28,False
hybridL150_S30_cd2_eL2_eS1_xL1_xS2,0.08748853016169664,0.0899719099246341,0.11568705323574362,0.7610014165806775,0.7610014165806775,-0.15509170864154936,5.715738844213264,1.5431762590713416,0.5431762590713416,31.0,15.0,0.62,0.3,False
hybridL200_S20_cd2_eL1_eS1_xL2_xS1,0.09089626198971677,0.09360482280272638,0.12113271717712994,0.7609779052107425,0.7609779052107425,-0.16863328286712811,5.783326285953083,1.5721085254983769,0.5721085254983768,30.0,14.0,0.6,0.28,False
hybridL250_S30_cd0_eL2_eS1_xL1_xS1,0.08572650249976084,0.08858259685430304,0.1156241415587289,0.7596682665857125,0.7596682665857125,-0.15955792128764995,5.739845076238465,1.5236212535174551,0.5236212535174551,28.0,14.0,0.56,0.28,False
hybridL250_S30_cd1_eL2_eS1_xL1_xS1,0.08572650249976084,0.08858259685430304,0.1156241415587289,0.7596682665857125,0.7596682665857125,-0.15955792128764995,5.739845076238465,1.5236212535174551,0.5236212535174551,28.0,14.0,0.56,0.28,False
hybridL150_S20_cd0_eL3_eS2_xL1_xS1,0.08774616996403804,0.0899892711510833,0.11464064864860742,0.7596019871174228,0.7596019871174228,-0.14991854694710313,5.909427629755566,1.5489003958584682,0.5489003958584682,29.0,18.0,0.58,0.36,False
hybridL150_S20_cd1_eL3_eS2_xL1_xS1,0.08774616996403804,0.0899892711510833,0.11464064864860742,0.7596019871174228,0.7596019871174228,-0.14991854694710313,5.909427629755566,1.5489003958584682,0.5489003958584682,29.0,18.0,0.58,0.36,False
hybridL150_S20_cd2_eL3_eS2_xL1_xS1,0.08774616996403804,0.0899892711510833,0.11464064864860742,0.7596019871174228,0.7596019871174228,-0.14991854694710313,5.909427629755566,1.5489003958584682,0.5489003958584682,29.0,18.0,0.58,0.36,False
hybridL150_S30_cd0_eL1_eS1_xL1_xS1,0.0881197337330364,0.09065986123145164,0.11671923661793761,0.7587760592591344,0.7587760592591344,-0.16425573998416168,5.8969707019502975,1.5478011606808197,0.5478011606808197,29.0,15.0,0.58,0.3,False
hybridL150_S30_cd1_eL1_eS1_xL1_xS1,0.0881197337330364,0.09065986123145164,0.11671923661793761,0.7587760592591344,0.7587760592591344,-0.16425573998416168,5.8969707019502975,1.5478011606808197,0.5478011606808197,29.0,15.0,0.58,0.3,False
hybridL250_S30_cd0_eL3_eS1_xL1_xS1,0.08547746439410611,0.08832137326915246,0.11507553605321705,0.7585301274347028,0.7585301274347028,-0.15413637221580584,5.521004799599643,1.5210998449788309,0.521099844978831,26.0,14.0,0.52,0.28,False
hybridL250_S30_cd1_eL3_eS1_xL1_xS1,0.08547746439410611,0.08832137326915246,0.11507553605321705,0.7585301274347028,0.7585301274347028,-0.15413637221580584,5.521004799599643,1.5210998449788309,0.521099844978831,26.0,14.0,0.52,0.28,False
hybridL250_S20_cd0_eL3_eS3_xL1_xS1,0.0855584034486942,0.08807288613791778,0.1134689483345198,0.7579215970154451,0.7579215970154451,-0.15072495073455397,5.468082128566944,1.5260718980738486,0.5260718980738487,28.0,13.0,0.56,0.26,False
hybridL250_S20_cd1_eL3_eS3_xL1_xS1,0.0855584034486942,0.08807288613791778,0.1134689483345198,0.7579215970154451,0.7579215970154451,-0.15072495073455397,5.468082128566944,1.5260718980738486,0.5260718980738487,28.0,13.0,0.56,0.26,False
hybridL250_S20_cd2_eL3_eS3_xL1_xS1,0.0855584034486942,0.08807288613791778,0.1134689483345198,0.7579215970154451,0.7579215970154451,-0.15072495073455397,5.468082128566944,1.5260718980738486,0.5260718980738487,28.0,13.0,0.56,0.26,False
hybridL200_S15_cd2_eL1_eS3_xL2_xS2,0.08936952944288258,0.0921021400662188,0.11930822432859449,0.7573033276817863,0.7573033276817863,-0.16965241382115578,5.970066519447119,1.5583694590755577,0.5583694590755577,32.0,13.0,0.64,0.26,False
hybridL200_S10_cd0_eL2_eS1_xL1_xS2,0.09301365149017993,0.09609430260676927,0.12561596008270723,0.7571042581499328,0.7571042581499328,-0.1752754865216463,5.806343191680505,1.5895623832217611,0.589562383221761,32.0,16.0,0.64,0.32,False
hybridL200_S10_cd1_eL2_eS1_xL1_xS2,0.09301365149017993,0.09609430260676927,0.12561596008270723,0.7571042581499328,0.7571042581499328,-0.1752754865216463,5.806343191680505,1.5895623832217611,0.589562383221761,32.0,16.0,0.64,0.32,False
hybridL250_S20_cd2_eL1_eS2_xL2_xS1,0.08833335161394178,0.09144498211869014,0.11887078453321219,0.7570222409836599,0.7570222409836599,-0.1576812338319415,5.549626951310647,1.54054813735512,0.5405481373551201,26.0,14.0,0.52,0.28,False
hybridL150_S30_cd2_eL3_eS1_xL1_xS1,0.08645150670283501,0.08874450711715262,0.11391147505618798,0.7569548789033835,0.7569548789033835,-0.15516486340261076,5.727581117726163,1.5382522756081147,0.5382522756081147,31.0,15.0,0.62,0.3,False
hybridL150_S30_cd0_eL2_eS2_xL2_xS2,0.08773293138013949,0.0903448029761228,0.11680948132276091,0.7568914820088115,0.7568914820088115,-0.1562702013411263,5.896660430582727,1.5444344153451974,0.5444344153451972,32.0,14.0,0.64,0.28,False
hybridL150_S30_cd1_eL2_eS2_xL2_xS2,0.08773293138013949,0.0903448029761228,0.11680948132276091,0.7568914820088115,0.7568914820088115,-0.1562702013411263,5.896660430582727,1.5444344153451974,0.5444344153451972,32.0,14.0,0.64,0.28,False
hybridL150_S30_cd2_eL2_eS2_xL2_xS2,0.08773293138013949,0.0903448029761228,0.11680948132276091,0.7568914820088115,0.7568914820088115,-0.1562702013411263,5.896660430582727,1.5444344153451974,0.5444344153451972,32.0,14.0,0.64,0.28,False
hybridL200_S15_cd0_eL3_eS3_xL2_xS2,0.08855034912468486,0.09120835360498418,0.11835994929808172,0.7562377264485276,0.7562377264485276,-0.167478626828879,5.869616244018511,1.5533932021122376,0.5533932021122375,32.0,14.0,0.64,0.28,False
hybridL200_S15_cd1_eL3_eS3_xL2_xS2,0.08855034912468486,0.09120835360498418,0.11835994929808172,0.7562377264485276,0.7562377264485276,-0.167478626828879,5.869616244018511,1.5533932021122376,0.5533932021122375,32.0,14.0,0.64,0.28,False
hybridL200_S15_cd2_eL3_eS3_xL2_xS2,0.08855034912468486,0.09120835360498418,0.11835994929808172,0.7562377264485276,0.7562377264485276,-0.167478626828879,5.869616244018511,1.5533932021122376,0.5533932021122375,32.0,14.0,0.64,0.28,False
hybridL250_S30_cd2_eL1_eS1_xL1_xS1,0.08624471229002129,0.08907920891567306,0.11633394412418595,0.7558505465046246,0.7558505465046246,-0.15884995154498582,5.640705906298971,1.529077277910846,0.5290772779108461,28.0,13.0,0.56,0.26,False
hybridL250_S30_cd2_eL2_eS1_xL1_xS1,0.08518198602584234,0.08806338158540672,0.11556543666270683,0.7553275686597866,0.7553275686597866,-0.16103568814049563,5.789177968570399,1.5201407464222212,0.520140746422221,28.0,14.0,0.56,0.28,False
hybridL200_S10_cd0_eL1_eS1_xL1_xS2,0.09301995144669795,0.09627399214525496,0.12670847564239712,0.7551238819168062,0.7551238819168062,-0.18538991248340786,6.080475975150651,1.5880732637550168,0.5880732637550168,33.0,16.0,0.66,0.32,False
hybridL200_S10_cd1_eL1_eS1_xL1_xS2,0.09301995144669795,0.09627399214525496,0.12670847564239712,0.7551238819168062,0.7551238819168062,-0.18538991248340786,6.080475975150651,1.5880732637550168,0.5880732637550168,33.0,16.0,0.66,0.32,False
hybridL200_S15_cd2_eL1_eS1_xL1_xS2,0.0919021694260815,0.09462391185568979,0.1226565429504114,0.7550727667575806,0.7550727667575806,-0.17774757667793722,5.973965097122416,1.5832940097956212,0.5832940097956212,29.0,18.0,0.58,0.36,False
hybridL150_S30_cd0_eL2_eS2_xL1_xS1,0.0854497417600569,0.08776877606330355,0.11312118944412514,0.7542776365696585,0.7542776365696585,-0.1501316445862568,5.72834957244284,1.5294828058300367,0.5294828058300367,30.0,14.0,0.6,0.28,False
hybridL150_S30_cd1_eL2_eS2_xL1_xS1,0.0854497417600569,0.08776877606330355,0.11312118944412514,0.7542776365696585,0.7542776365696585,-0.1501316445862568,5.72834957244284,1.5294828058300367,0.5294828058300367,30.0,14.0,0.6,0.28,False
hybridL150_S30_cd2_eL2_eS2_xL1_xS1,0.0854497417600569,0.08776877606330355,0.11312118944412514,0.7542776365696585,0.7542776365696585,-0.1501316445862568,5.72834957244284,1.5294828058300367,0.5294828058300367,30.0,14.0,0.6,0.28,False
hybridL250_S20_cd0_eL3_eS3_xL1_xS2,0.08516369367767151,0.08781415553304207,0.11398526905903923,0.7542698083393776,0.7542698083393776,-0.15343499447995354,5.531732043772459,1.5220555296097393,0.5220555296097392,28.0,13.0,0.56,0.26,False
