variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,group
sma100_3in_1out,0.053279322582411394,0.05636415531858596,0.0993469990461935,0.2057796906337482,0.5189420021360134,-0.14112241487314384,5.363994016235059,1.3148903597613268,0.31489035976132684,0.0,1.0,0.0,0.2,strategy
"set_[100, 150, 200]__x100_0_150_1_200_1",0.04872649929630228,0.050545589689265105,0.08099388509094521,0.2039563337292647,0.5856748976133055,-0.11752091712397035,4.734854317046329,1.2787477977813213,0.27874779778132125,0.0,0.0,0.0,0.0,strategy
"set_[100, 150, 200]__x100_1_150_0_200_1",0.04900739314647553,0.05060306815217576,0.07941167872222185,0.20160213531943705,0.5911792612988895,-0.10247432891353281,4.311631147058803,1.2829132047101524,0.2829132047101524,0.0,0.0,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_0_250_0",0.0420516155586216,0.043222286602303026,0.06507946537815154,0.17010692052607568,0.6438862453936557,-0.0866094479335533,3.687689468357707,1.2321059757510036,0.23210597575100347,0.0,0.0,0.0,0.0,strategy
"set_[100, 150, 200]__x100_0_150_0_200_1",0.04273075723236373,0.04397031663304217,0.06747666900453601,0.15940830092017585,0.6196323101567445,-0.08715872321082926,3.7569266367567806,1.2380835158237562,0.2380835158237562,0.0,0.0,0.0,0.0,strategy
"set_[100, 200]__x100_1_200_0",0.041707781416895885,0.04353628599666478,0.07438577512061496,0.1498243564030533,0.5656912432937521,-0.10379598924904387,4.279521147124741,1.230986280541831,0.2309862805418311,0.0,0.0,0.0,0.0,strategy
"set_[100, 150, 200]__x100_1_150_1_200_0",0.0438859502430081,0.045817724599226395,0.07989892915356978,0.14658965506152472,0.5335075229458905,-0.12027983580346943,4.694802478072454,1.2499845174635842,0.24998451746358424,0.0,0.0,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_0_250_0",0.03580814330554509,0.036589535083169436,0.05305531955342561,0.11047417140773459,0.6967090159030778,-0.07411099873163333,3.0785177912734265,1.1934455257144925,0.19344552571449264,0.0,0.0,0.0,0.0,strategy
"set_[100, 150, 200]__x100_0_150_1_200_0",0.037683535468137005,0.0391849730800928,0.0680112973202987,0.09579892186699623,0.5516165517792608,-0.10102862405585464,4.0410515025543825,1.2076688366795776,0.2076688366795775,0.0,0.0,0.0,0.0,strategy
"set_[100, 150, 200]__x100_1_150_0_200_0",0.037770428768871156,0.03924245154300346,0.06830291414410634,0.09482891197745999,0.5457934950112152,-0.08970403108939587,3.9915752280724526,1.2089452630739073,0.20894526307390732,0.0,0.0,0.0,0.0,strategy
sma100_3in_0out,0.03441193801349991,0.03646590076118521,0.072863302763303,0.08502872875933923,0.5101719034852359,-0.10999375249630991,4.530432195329416,1.1870569703320437,0.18705697033204366,0.0,0.0,0.0,0.0,strategy
"set_[100, 200]__x100_0_200_0",0.03235142349801925,0.0335871587179644,0.059571605258881256,0.0600627068140054,0.5877406483025126,-0.08754101865941127,3.588571698625991,1.175368182334172,0.17536818233417195,0.0,0.0,0.0,0.0,strategy
sma200_3in_0out,0.02886898793408532,0.0307084166747436,0.06900935535728503,0.022103470758262512,0.46663461682314383,-0.117982005233319,5.058806257716269,1.157339792044023,0.15733979204402287,1.0,0.0,0.2,0.0,strategy
"set_[100, 150, 200]__x100_0_150_0_200_0",0.031467355740806016,0.03260970002386987,0.057680223681312315,0.016806044366718943,0.5596214616280144,-0.08518592278231489,3.6642545726106626,1.1700518567913172,0.17005185679131704,0.0,0.0,0.0,0.0,strategy
baseline_buyhold,0.08933062331566122,0.09951904673453431,0.17604775932428857,0.37975096632888905,0.5575442354040819,-0.2933642222497822,10.283141627051268,1.605635672512826,0.605635672512826,,,,,baseline
