ticker,variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,is_baseline
IWF,hybridL200_S30_eL3_eS2_xL1_xS2,0.09889874674412655,0.10173459317933624,0.12498329800470201,0.8068935422528464,0.8068935422528464,-0.18269023475464966,6.193986300930361,1.978307863974192,0.978307863974192,390.0,163.0,0.8387096774193549,0.35053763440860214,False
IWF,hybridL200_S30_eL3_eS2_xL2_xS1,0.10546495052090234,0.10781291348207395,0.12632924984654745,0.8382528343502815,0.8382528343502815,-0.1660227846332452,5.929855666420459,2.0678606054445736,1.0678606054445736,378.0,210.0,0.8129032258064516,0.45161290322580644,False
IWF,hybridL200_S30_eL3_eS2_xL2_xS2,0.10276174838058381,0.10545085613156059,0.12715303677136386,0.815678855866477,0.815678855866477,-0.18121201773707982,6.091726899872447,2.033986987410433,1.0339869874104328,390.0,182.0,0.8387096774193549,0.3913978494623656,False
IWF,hybridL200_S30_eL3_eS3_xL1_xS1,0.0971491756128675,0.09984466579645472,0.12321469393285996,0.7974990265842055,0.7974990265842055,-0.1712686419999595,6.008675020135146,1.9624174205104257,0.9624174205104257,380.0,162.0,0.8172043010752689,0.34838709677419355,False
IWF,hybridL200_S30_eL3_eS3_xL1_xS2,0.09598272524554029,0.09884938801217673,0.12404218549572785,0.7853549874859196,0.7853549874859196,-0.17786693827407554,6.1711140752683855,1.9506128917708656,0.9506128917708655,393.0,128.0,0.8451612903225807,0.2752688172043011,False
IWF,hybridL200_S30_eL3_eS3_xL2_xS1,0.10102716192825291,0.10356092874867906,0.12540494569581737,0.8066901548916171,0.8066901548916171,-0.1712401890292165,6.0160697973967885,2.0197391514123115,1.0197391514123118,369.0,195.0,0.7935483870967742,0.41935483870967744,False
IWF,hybridL200_S30_eL3_eS3_xL2_xS2,0.09985085244859494,0.10256565096440107,0.12622256974097973,0.7945113426390411,0.7945113426390411,-0.17649437768890935,6.039465712311474,2.007115747758318,1.0071157477583181,381.0,171.0,0.8193548387096774,0.36774193548387096,False
QQQ,hybridL200_S10_eL2_eS2_xL1_xS1,0.10785214828570171,0.11296063988799779,0.15098108880998523,0.7487319091020853,0.7487319091020853,-0.22175874852316396,8.077245471446536,2.1337440427843744,1.1337440427843744,249.0,93.0,0.535483870967742,0.2,False
QQQ,hybridL200_S10_eL2_eS2_xL1_xS2,0.11865859644760764,0.12320658129506902,0.15390715467474442,0.8020326675222983,0.8020326675222983,-0.2277370053946682,7.768688824161709,2.2765230824284814,1.2765230824284812,346.0,122.0,0.7440860215053764,0.2623655913978495,False
QQQ,hybridL200_S10_eL2_eS2_xL2_xS1,0.09983561692807782,0.10652236364148573,0.15505173868519734,0.6865994584111909,0.6865994584111909,-0.2512446128035159,8.599572827815635,2.0144611359732623,1.0144611359732623,178.0,56.0,0.3827956989247312,0.12043010752688173,False
QQQ,hybridL200_S10_eL2_eS2_xL2_xS2,0.1101649199316946,0.11640674349880646,0.1579059348699833,0.7377981163112679,0.7377981163112679,-0.2524472973950636,8.292622282161762,2.1441444032701864,1.1441444032701864,229.0,85.0,0.4924731182795699,0.1827956989247312,False
QQQ,hybridL200_S10_eL2_eS3_xL1_xS1,0.10410182400175093,0.10940209643313746,0.1492125621450493,0.7319596769700482,0.7319596769700482,-0.21164085366451735,8.234779017183588,2.075095480227631,1.075095480227631,235.0,80.0,0.5053763440860215,0.17204301075268819,False
