,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,scenario
SMA230,0.14675696490382606,0.14607075318510965,0.13470043401479181,0.8616954654530928,-0.14552553777476096,6.437912167296152,2.984194337499318,pre_covid
SMA240,0.14714402409541338,0.1464953268916761,0.13534474076411487,0.860730355933886,-0.15323116814830787,6.519429634368216,2.99224575716845,pre_covid
SMA250,0.14797499094300948,0.1472505959853744,0.13557324297387852,0.8648505664791513,-0.15543118430220976,6.615309637492276,3.0095953475129176,pre_covid
SMA252,0.15072822056031177,0.14966149369674747,0.13567770365363555,0.8819540018323497,-0.1554311843022101,6.497190565428884,3.0677099118634383,pre_covid
SMA300,0.09667555645781634,0.09991403989262147,0.12318418238775213,0.5675569585107126,-0.18626350543191408,7.340798651226516,2.0892439258484234,pre_covid
M10,0.11920392557539472,0.12214245277347717,0.13771381857607215,0.6690864702337647,-0.1966278118511109,9.337636156048195,2.457522264943595,pre_covid
BuyAndHold,0.20667862402786707,0.22071232154194842,0.25586131341444285,0.7453738081654948,-0.35118730602679066,13.093163691925938,2.936680547363982,post_covid
SMA50,0.1575693912836047,0.1575939143959858,0.1497620334807464,0.8519777104414746,-0.17759495107487933,7.389113438057511,2.3141247411507875,post_covid
SMA100,0.14883407212066735,0.15143798927969596,0.1588141731377784,0.7646546078374447,-0.17174919793664423,6.346745103557856,2.215761705683713,post_covid
SMA150,0.16446700622381383,0.16580449057584484,0.1640631159660593,0.8277575966796797,-0.1831800399775176,7.462453807044901,2.3943172372672805,post_covid
SMA200,0.21386839106159594,0.20889692194829018,0.17302150283847015,1.0339577394337236,-0.1831800399775176,6.547282644592515,3.0384399513891136,post_covid
SMA220,0.14624334903660308,0.15095538548210585,0.16955755471325681,0.7133588691265138,-0.26481485761808915,11.265258529933678,2.1872622784960503,post_covid
SMA221,0.14624334903660308,0.15095538548210585,0.16955755471325681,0.7133588691265138,-0.26481485761808915,11.265258529933678,2.1872622784960503,post_covid
SMA225,0.18976642106296948,0.18900749032784572,0.17401330176497856,0.9137662966857582,-0.1946387809565228,9.309200650763504,2.708363884161519,post_covid
SMA230,0.18976642106296948,0.18900749032784572,0.17401330176497856,0.9137662966857582,-0.1946387809565228,9.309200650763504,2.708363884161519,post_covid
SMA240,0.14747472165053677,0.15191909406857113,0.16890849539004077,0.7218055775527308,-0.2602745935535802,11.374870910232179,2.2007700981597327,post_covid
SMA250,0.14812982773436723,0.15167972170583474,0.16403609766749583,0.7417862497099985,-0.19749856795596274,11.997257020089958,2.207984451468282,post_covid
SMA252,0.14812982773436723,0.15167972170583474,0.16403609766749583,0.7417862497099985,-0.19749856795596274,11.997257020089958,2.207984451468282,post_covid
SMA300,0.1130385450622009,0.12072580134430876,0.16470343296994072,0.5508434141798776,-0.23895593912144072,12.14085129497361,1.847972134473396,post_covid
M10,0.12282898150012667,0.13088773579004676,0.1729799429771498,0.5832337209370787,-0.18904489750521244,10.028575924289614,1.9431424980590317,post_covid
BuyAndHold,0.24544410088188862,0.24266444903636103,0.21433139289052655,0.9922225865670693,-0.2855936722656606,5.289644869967406,3.7287835050096803,bull_only
SMA50,0.1592773824092346,0.15608087859150666,0.12812696748936506,0.9840307708989661,-0.17759495107487885,5.426330347528395,2.4258808446701647,bull_only
SMA100,0.10562018949547736,0.11121382540472803,0.1464642903961536,0.554495742170754,-0.17174919793664478,6.5107158517369035,1.825840030247237,bull_only
SMA150,0.15147066900358497,0.1533355068045521,0.15623114749927397,0.7894424945264213,-0.18318003997751744,6.6121577020301165,2.3295616698985757,bull_only
SMA200,0.1960806691209238,0.1929957481738771,0.1662678276474256,0.9803204292745857,-0.18318003997751728,6.809282802274659,2.9258648079738108,bull_only
SMA220,0.2047756245785799,0.20027255556355059,0.16643716229274463,1.0230440919442012,-0.1831800399775173,6.47625449748354,3.0557370272305358,bull_only
SMA221,0.19859383648056794,0.19520620215812118,0.166919399129245,0.9897363818701667,-0.1831800399775176,7.3269212302453255,2.9629208489119123,bull_only
SMA225,0.19859383648056794,0.19520620215812118,0.166919399129245,0.9897363818701667,-0.1831800399775176,7.3269212302453255,2.9629208489119123,bull_only
SMA230,0.20358495584279934,0.19946854418151652,0.16755229077343578,1.011436748487503,-0.18318003997751742,6.077765194668268,3.037673914391217,bull_only
SMA240,0.20681648995783886,0.20221658581906188,0.16793873306349238,1.0254726987487286,-0.1831800399775175,6.028651986750661,3.0869062590477827,bull_only
SMA250,0.20629299934812773,0.2017832258607507,0.16794385023205424,1.022861067097077,-0.1831800399775175,6.093231487211233,3.07888607292375,bull_only
SMA252,0.20629299934812773,0.2017832258607507,0.16794385023205424,1.022861067097077,-0.1831800399775175,6.093231487211233,3.07888607292375,bull_only
SMA300,0.13885553239739523,0.14357841940034444,0.1641119659644099,0.6920788422276022,-0.18626350543191436,8.444022324345436,2.1806588753584997,bull_only
M10,0.12122840432983195,0.12755015355441252,0.16156062253703046,0.6037990694920328,-0.19662781185111064,7.2867825894055205,1.985945605267413,bull_only
