scenario,strategy,year,cal_year_return,ann_return,ann_vol,sharpe,max_dd,ulcer_index,exposure,entries,exits,avg_trade_days,median_trade_days
pre_covid,SMA50,2015,-0.08149618127694513,-0.07879425065519886,0.11150414202920628,-0.9756969443045659,-0.10319795779296377,6.593306426393543,0.5595238095238095,11,11,12.818181818181818,7.0
pre_covid,SMA50,2016,0.06597021160624439,0.0670693523954911,0.07984231492334593,0.4642820342957267,-0.05560034931713147,2.403836775898233,0.5634920634920635,7,6,20.285714285714285,14.0
pre_covid,SMA50,2017,0.23397086752284557,0.21564625351419284,0.0947810738344361,1.9586848513499688,-0.061041773665884445,2.4265370643825666,0.9043824701195219,5,4,45.4,21.0
pre_covid,SMA50,2018,0.08818034346220616,0.0914505903080303,0.11478986097676275,0.5353311676235056,-0.09704230822882548,5.013986679333629,0.6095617529880478,4,4,38.25,23.5
pre_covid,SMA50,2019,0.17318235711972085,0.16590624185599495,0.11074716256002251,1.2271758365126222,-0.1035522801896839,5.603285449919054,0.6984126984126984,4,3,44.0,43.0
pre_covid,SMA100,2012,0.12231461680163536,0.12144944182856261,0.10131474969031483,0.9026271308777138,-0.08859152042426471,5.9395473481844565,0.592,3,3,49.333333333333336,52.0
pre_covid,SMA100,2013,0.2480438162045866,0.22839510116421502,0.11608053663742846,1.709115988874964,-0.05853823568723506,1.682246931566149,0.9325396825396826,4,3,58.75,52.0
pre_covid,SMA100,2014,0.08641346153788976,0.08988908080763025,0.1183755039286621,0.5059246112584396,-0.07815262090053676,3.601258860762534,0.8293650793650794,5,4,41.8,47.0
pre_covid,SMA100,2015,-0.05580264276822988,-0.04948788011228286,0.12599314136739873,-0.6308905330052411,-0.09021811243428665,4.437277124595865,0.7420634920634921,7,6,26.714285714285715,5.0
pre_covid,SMA100,2016,-0.06408279282183105,-0.06131583647651596,0.09891844193449262,-0.9231426889738986,-0.08796236387780909,3.7393197571473005,0.626984126984127,7,6,22.571428571428573,15.0
pre_covid,SMA100,2017,0.32663555338675576,0.28924058408762254,0.10315909756772554,2.513017176380659,-0.048819361817442265,1.206727783317458,1.0,1,0,251.0,251.0
pre_covid,SMA100,2018,0.0018820466256581625,0.011622258619403369,0.1392275970135199,-0.13199783501838386,-0.12757861313945743,7.794925660947416,0.6533864541832669,4,4,41.0,27.0
pre_covid,SMA100,2019,0.06719370909905908,0.0718913616612737,0.11691610468115185,0.35830274858641487,-0.15072094854094362,7.599643816019593,0.7579365079365079,5,4,38.2,39.0
pre_covid,SMA150,2012,0.018195334943344355,0.026471110157412412,0.1290402616770078,-0.027347199988020182,-0.15562577041295553,10.0733847578653,0.768,7,7,27.428571428571427,6.0
pre_covid,SMA150,2013,0.3189568051419496,0.2837780582524904,0.1166402490715211,2.175733164774705,-0.058538235687235,1.3848479416325463,0.9642857142857143,2,1,121.5,121.5
pre_covid,SMA150,2014,0.1150920456399418,0.11779736310017014,0.13302891520362517,0.6599870634574457,-0.0805937554698436,3.2470852995074218,0.9523809523809523,3,2,80.0,70.0
pre_covid,SMA150,2015,-0.0035782027318168597,0.005056498015116734,0.13157614982197632,-0.18957464569857108,-0.09510401988435128,4.477050855113641,0.8055555555555556,4,3,50.75,36.5
pre_covid,SMA150,2016,0.06872448887261795,0.07098630642000775,0.09516155883498251,0.43070234369616806,-0.055054001121925315,2.056194170591598,0.6706349206349206,4,3,42.25,21.0
pre_covid,SMA150,2017,0.32663555338675576,0.28924058408762254,0.10315909756772554,2.513017176380659,-0.048819361817442265,1.206727783317458,1.0,1,0,251.0,251.0
pre_covid,SMA150,2018,0.05640520221587764,0.06845483257119254,0.1632832886255628,0.235509909770229,-0.13690526014444487,6.202849661332845,0.7569721115537849,3,3,63.333333333333336,62.0
pre_covid,SMA150,2019,0.08668814212253628,0.0922653746657501,0.1349653508726735,0.46134340601604734,-0.10983208538920251,4.5370317170679835,0.8055555555555556,6,5,33.833333333333336,31.5
pre_covid,SMA200,2012,0.11313185169020867,0.11764008093713889,0.13879655097540644,0.631428377155193,-0.11487151772715896,5.247426506726963,0.84,3,3,70.0,3.0
pre_covid,SMA200,2013,0.33605907087893994,0.2968584665680487,0.11819873097195906,2.2577100817720033,-0.05853823568723458,1.3492271417943988,0.9880952380952381,1,0,249.0,249.0
pre_covid,SMA200,2014,0.12971698282045097,0.13103258594287082,0.13452510350056496,0.7510314678363844,-0.08689513075027099,2.8743404015097687,0.9880952380952381,2,1,124.5,124.5
pre_covid,SMA200,2015,0.03295922183270372,0.042944726600471356,0.14505159815095894,0.08924221977202516,-0.10743628602075833,5.1863865131263305,0.8412698412698413,2,1,106.0,106.0
pre_covid,SMA200,2016,0.014753553037937905,0.018868735973051783,0.09203874264962587,-0.12094107010265057,-0.055054001121925496,2.2568368885032273,0.6309523809523809,4,3,39.75,17.0
pre_covid,SMA200,2017,0.32663555338675576,0.28924058408762254,0.10315909756772554,2.513017176380659,-0.048819361817442265,1.206727783317458,1.0,1,0,251.0,251.0
pre_covid,SMA200,2018,0.027377718802991113,0.0424238075360757,0.17466305731459872,0.0711301389491783,-0.15083937127435706,7.4350317247835935,0.8087649402390438,2,2,101.5,101.5
pre_covid,SMA200,2019,0.17254471170427998,0.16839099944633476,0.13534298300540745,1.0225206831801954,-0.08979134822128101,3.0124817654279092,0.8214285714285714,4,3,51.75,31.0
pre_covid,SMA220,2012,0.09897871857171436,0.10520732105634717,0.14213792055483387,0.5291151070929995,-0.11487151772715896,5.504137955557846,0.864,3,3,72.0,3.0
pre_covid,SMA220,2013,0.33605907087893994,0.2968584665680487,0.11819873097195906,2.2577100817720033,-0.05853823568723458,1.3492271417943988,0.9880952380952381,1,0,249.0,249.0
pre_covid,SMA220,2014,0.19181420043769504,0.18507806559282414,0.13827769397779927,1.1214973372185557,-0.0824852221041139,2.4782671785160386,1.0,1,0,252.0,252.0
pre_covid,SMA220,2015,0.03295922183270372,0.042944726600471356,0.14505159815095894,0.08924221977202516,-0.10743628602075833,5.1863865131263305,0.8412698412698413,2,1,106.0,106.0
pre_covid,SMA220,2016,0.04158795467276133,0.04512548938863629,0.09370548325638323,0.16141520072258883,-0.055054001121925496,2.0915010819134037,0.6428571428571429,4,3,40.5,17.0
pre_covid,SMA220,2017,0.32663555338675576,0.28924058408762254,0.10315909756772554,2.513017176380659,-0.048819361817442265,1.206727783317458,1.0,1,0,251.0,251.0
