ticker,variant,kind,note,start,end,observations,long_window,short_window,entry_days_long,entry_days_short,exit_days_long,exit_days_short,window,entry_days,exit_days,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
EQWL,baseline_buyhold,baseline,total return buy and hold,2006-12-01,2026-03-26,4858,,,,,,,,,,0.10187266563802244,0.11365591791915985,0.18194957983178717,0.6246561164045283,0.6246561164045283,-0.493605098583617,11.455907768469565,6.489331366605638,5.489331366605638
IWY,hybridL200_S20_eL2_eS2_xL1_xS1,hybrid,Near-tie full-span variant with a faster 200-SMA exit.,2009-09-28,2026-03-26,4149,200.0,20.0,2.0,2.0,1.0,1.0,,,,0.14839677999209444,0.14839902767668303,0.1412247594590689,1.0508003571405864,1.0508003571405864,-0.19456378091402232,6.136208837770803,9.758235591859966,8.758235591859966
IWY,hybridL200_S20_eL2_eS2_xL2_xS1,hybrid,Best overall variant from hybridSMAtiming/v4.,2009-09-28,2026-03-26,4149,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.1435514704130345,0.14477978791607618,0.14536352450605727,0.9959842980419977,0.9959842980419977,-0.24592323975438954,6.449089831391852,9.102040499387668,8.102040499387668
IWY,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Close variant with a slower bull-regime entry.,2009-09-28,2026-03-26,4149,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.14186810720653464,0.14326870087141985,0.1451066267667319,0.9873339630569278,0.9873339630569278,-0.24592323975438962,6.657117963122591,8.883934527668778,7.883934527668778
IWY,200SMA_3in_2out_hybrid20SMA,hybrid,Simpler remembered 3-day version from SMAtiming/v13.,2009-09-28,2026-03-26,4149,200.0,20.0,3.0,3.0,2.0,1.0,,,,0.1405698588047637,0.14202393861636237,0.14437163661650745,0.9837385094803544,0.9837385094803544,-0.24592323975438923,6.597462663982329,8.719089316097802,7.7190893160978025
IWY,baseline_buyhold,baseline,total return buy and hold,2009-09-28,2026-03-26,4149,,,,,,,,,,0.16270748794534606,0.1686939329920007,0.18905418979813815,0.8923046517621376,0.8923046517621376,-0.3268441861621285,8.22988469505951,11.96532539257599,10.96532539257599
IWY,sma200_3in_2out,single_sma,Plain 200-SMA control without the 20-SMA regime switch.,2009-09-28,2026-03-26,4149,,,,,,,200.0,3.0,2.0,0.11622433715841418,0.1195652423784707,0.13815464380153228,0.8654449759230215,0.8654449759230215,-0.27140410964038986,8.236964742575509,6.112151767250499,5.112151767250499
QQQM,200SMA_3in_2out_hybrid20SMA,hybrid,Simpler remembered 3-day version from SMAtiming/v13.,2020-10-13,2026-03-26,1369,200.0,20.0,3.0,3.0,2.0,1.0,,,,0.15328774557042246,0.1538840790692979,0.14991569935898233,1.0264707414052283,1.0264707414052283,-0.15387952673639935,6.12077830219178,2.170095719312264,1.1700957193122639
QQQM,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Close variant with a slower bull-regime entry.,2020-10-13,2026-03-26,1369,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.14681079502132488,0.1485698369619924,0.1520433459216489,0.9771544822392528,0.9771544822392528,-0.15743880907463914,6.216773335148925,2.1047058783822736,1.1047058783822736
QQQM,hybridL200_S20_eL2_eS2_xL2_xS1,hybrid,Best overall variant from hybridSMAtiming/v4.,2020-10-13,2026-03-26,1369,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.1467966526840616,0.14855750541540316,0.15204339649005735,0.977073051805429,0.977073051805429,-0.15743880907463884,6.216773337785505,2.104564880733871,1.104564880733871
QQQM,hybridL200_S20_eL2_eS2_xL1_xS1,hybrid,Near-tie full-span variant with a faster 200-SMA exit.,2020-10-13,2026-03-26,1369,200.0,20.0,2.0,2.0,1.0,1.0,,,,0.1429823606708147,0.14508697515380206,0.15114322084722304,0.9599304179210084,0.9599304179210084,-0.14326842004322196,5.540544080858009,2.066817069069447,1.066817069069447
