variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share
"set_[100, 150, 200]__x100_1_150_2_200_2",0.0798115552393551,0.08170529335554301,0.10246594709184995,0.7878274666283039,0.7878274666283039,-0.1418205900414306,5.253014635081338,1.4782090486302246,0.4782090486302247,1.0,0.0,0.2,0.0
"set_[100, 200]__x100_2_200_2",0.08001892748530315,0.08202591904378251,0.10342038830192637,0.7835373519442355,0.7835373519442355,-0.13876633120614607,5.25545837633792,1.4786349563914414,0.4786349563914413,1.0,0.0,0.2,0.0
"set_[100, 200, 250]__x100_1_200_2_250_1",0.07839504552799954,0.08035086532277892,0.10131405762958194,0.7820518616523903,0.7820518616523903,-0.13394634383435064,5.174331751568586,1.4666779851229643,0.4666779851229643,2.0,0.0,0.4,0.0
"set_[100, 150, 200]__x100_2_150_1_200_2",0.07889712936659685,0.0808532353394572,0.10279355004292427,0.7773488260780137,0.7773488260780137,-0.13978267143679052,5.381855919556463,1.4728099415122595,0.4728099415122594,1.0,0.0,0.2,0.0
"set_[100, 200, 250]__x100_1_200_2_250_2",0.07842290867912985,0.08050370748152665,0.10219755205368275,0.7769783113259668,0.7769783113259668,-0.13849271279637904,5.21006776293442,1.4659463352428657,0.46594633524286555,2.0,0.0,0.4,0.0
"set_[100, 150, 200]__x100_1_150_2_200_1",0.07781526479513831,0.07976000726666119,0.10159031161569158,0.7764833978762875,0.7764833978762875,-0.13585889809509696,5.356688644114092,1.4646254880339653,0.46462548803396525,1.0,0.0,0.2,0.0
"set_[100, 200, 250]__x100_1_200_1_250_1",0.07639941768871594,0.0784055792338971,0.10044800444535487,0.7702175220943851,0.7702175220943851,-0.1328485293437873,5.360970179633354,1.4532241576124658,0.4532241576124659,1.0,0.0,0.2,0.0
"set_[100, 200, 250]__x100_1_200_1_250_2",0.07646719609208011,0.07855842139264482,0.10100152633348503,0.7678919928344958,0.7678919928344958,-0.13664246161154847,5.372413778377992,1.4527727917219024,0.4527727917219025,2.0,0.0,0.4,0.0
"set_[100, 200]__x100_2_200_1",0.0770455392676848,0.07910798991045978,0.10203978316301121,0.7666954394005083,0.7666954394005083,-0.13378052000167823,5.535061970850848,1.4588207379833285,0.45882073798332856,1.0,0.0,0.2,0.0
"set_[100, 150, 200]__x100_2_150_1_200_1",0.0768981466791907,0.07890794925057538,0.10204364207124605,0.7647850595075283,0.7647850595075283,-0.13464137368933254,5.559862015537122,1.459549194265348,0.45954919426534796,1.0,0.0,0.2,0.0
"set_[100, 150, 200]__x100_1_150_1_200_2",0.07482027488436738,0.07692360280212764,0.1010311279080878,0.7521644589053065,0.7521644589053065,-0.1380477612414306,5.3680733872043485,1.4443266904248415,0.4443266904248414,1.0,0.0,0.2,0.0
"set_[100, 200]__x100_1_200_2",0.07393474715212082,0.07613147023778816,0.10066598155147746,0.7463247134702249,0.7463247134702249,-0.13539296375589904,5.241471089371279,1.4366376382546733,0.4366376382546734,1.0,0.0,0.2,0.0
sma150_3in_1out,0.07640019261846284,0.07850786793080657,0.10430357405245683,0.7456994871467084,0.7456994871467084,-0.1547196872726273,6.034368813329476,1.4607240167828934,0.4607240167828934,1.0,0.0,0.2,0.0
"set_[100, 150, 200]__x100_1_150_1_200_1",0.07281090642277759,0.0749783167132458,0.10039372585641446,0.7382625847324675,0.7382625847324675,-0.13291903492244053,5.532396157406238,1.4310851052555644,0.43108510525556437,1.0,0.0,0.2,0.0
"set_[100, 200]__x100_1_200_1",0.07093780537576384,0.07321354110446543,0.09953179292083193,0.7265424377921265,0.7265424377921265,-0.12949030340993922,5.489165722525495,1.4168645511952749,0.4168645511952748,1.0,0.0,0.2,0.0
sma100_3in_3out,0.06872605561487624,0.07221942791633602,0.11074324919901654,0.6446513217235278,0.6446513217235278,-0.17324641033229676,6.651285084096921,1.405701828704125,0.4057018287041251,1.0,0.0,0.2,0.0
sma100_3in_2out,0.06219300248498834,0.06553124146203106,0.1050475263395693,0.6207971410156248,0.6207971410156248,-0.15162606817397722,6.206846913473187,1.3611345504604688,0.36113455046046883,1.0,0.0,0.2,0.0
sma100_3in_1out,0.05016705988513666,0.053742343850042326,0.10065801491142337,0.5277805996811263,0.5277805996811263,-0.1541818432949143,6.781311335829583,1.2849654855992205,0.2849654855992207,1.0,0.0,0.2,0.0
