ticker,variant,kind,note,start,end,observations,long_window,short_window,entry_days_long,entry_days_short,exit_days_long,exit_days_short,window,entry_days,exit_days,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
AUSF,hybridL200_S20_eL2_eS1_xL1_xS1,hybrid,More aggressive entry and faster 200-SMA exit.,2018-08-28,2026-03-26,1904,200.0,20.0,2.0,1.0,1.0,1.0,,,,0.09076544787285412,0.09478177896758001,0.1254862847293022,0.7553158432576306,0.7553158432576306,-0.1358296649674528,5.66525947248861,1.9278865792690858,0.9278865792690858
AUSF,baseline_buyhold,baseline,total return buy and hold,2018-08-28,2026-03-26,1904,,,,,,,,,,0.12332484574943336,0.13497473902100193,0.19246655850427227,0.701289304853476,0.701289304853476,-0.44245803989441435,7.476322757172774,2.407665164104137,1.4076651641041371
AUSF,sma200_3in_2out,single_sma,Plain 200-SMA control.,2018-08-28,2026-03-26,1904,,,,,,,200.0,3.0,2.0,0.07005437423479144,0.07356961374948284,0.108128972005612,0.6803876184605224,0.6803876184605224,-0.18759261269546018,8.13976768164191,1.6679288023537757,0.6679288023537757
AUSF,hybridL200_S30_eL3_eS2_xL2_xS1,hybrid,Smoother re-entry trigger.,2018-08-28,2026-03-26,1904,200.0,30.0,3.0,2.0,2.0,1.0,,,,0.07426859597497248,0.07888903759638884,0.12018399706607476,0.6564021793435381,0.6564021793435381,-0.17295770269605423,7.69188387497107,1.7182054607079396,0.7182054607079396
AUSF,sma200_2in_2out,single_sma,Faster plain 200-SMA entry.,2018-08-28,2026-03-26,1904,,,,,,,200.0,2.0,2.0,0.06660273514688808,0.07055632666824872,0.11012404225171013,0.640698663303499,0.640698663303499,-0.2175926643876705,9.136064490466271,1.6277057696800792,0.6277057696800792
AUSF,sma200_3in_1out,single_sma,Faster 200-SMA exit.,2018-08-28,2026-03-26,1904,,,,,,,200.0,3.0,1.0,0.06318145964729238,0.06697046819184638,0.10669326248804123,0.6276916332870859,0.6276916332870859,-0.17127952608923316,7.322580867077982,1.5886698282214013,0.5886698282214013
AUSF,sma150_3in_2out,single_sma,Historically strong plain SMA variant.,2018-08-28,2026-03-26,1904,,,,,,,150.0,3.0,2.0,0.06417238728673569,0.0681566858093311,0.10905703239488562,0.6249636938821325,0.6249636938821325,-0.2107457382111603,8.944960669317545,1.599891605364792,0.599891605364792
AUSF,sma150_3in_1out,single_sma,Historically strong plain SMA variant.,2018-08-28,2026-03-26,1904,,,,,,,150.0,3.0,1.0,0.06082596324864031,0.0645736677469505,0.10509846591968856,0.6144111351377359,0.6144111351377359,-0.19892387665075695,7.741978114755378,1.5622686833308381,0.5622686833308381
DGRO,hybridL150_S20_eL3_eS2_xL2_xS1,hybrid,Shorter long trend filter.,2014-06-12,2026-03-26,2965,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.09621764805691235,0.09753755295912984,0.10623474346269869,0.9181323339231048,0.9181323339231048,-0.19488485766758945,6.078054934867301,2.947274314356633,1.947274314356633
DGRO,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Current best average-Sharpe benchmark.,2014-06-12,2026-03-26,2965,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.09525596788907076,0.0969860033820087,0.10922828904458975,0.8879201920156102,0.8879201920156102,-0.14705642800715096,5.348590523655105,2.9169962062415613,1.9169962062415613
