Date,rotation_original_cefs_bil,rotation_top4_bil,winningstrat_top4_zero_cash,winningstrat_top4_bil_cash,hybrid_rotation_gate_plus_winning_daily_bil,hybrid_rotation_gate_or_winning_daily_bil
2020-09-30,-0.021767758340892063,-0.037818857500000025,-0.03777145528911352,-0.03777145528911352,-0.03777145528911352,-0.03777145528911363
2020-10-31,-0.03530470895460791,-0.07334054305162507,-0.07314559229230966,-0.07314559229230955,-0.07314559229230977,-0.07314559229230966
2020-11-30,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,0.0,-0.005211129199999998,-0.00507903424904832,-0.00507903424904832,-0.00507903424904832,-0.00507903424904832
2021-02-28,0.0,-0.007135954542337508,-0.006936423119388135,-0.006936423119388135,-0.006936423119388135,-0.006936423119388246
2021-03-31,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-30,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-31,0.0,-0.0038938903999999885,-0.0038102314542451943,-0.0038102314542451943,-0.0038102314542451943,-0.0038102314542451943
2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-31,-0.00902723400000005,0.0,0.0,0.0,0.0,0.0
2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,-0.0388674658,-0.054247808499999994,-0.05416703348096763,-0.05416703348096741,-0.05416703348096752,-0.05416703348096763
2021-10-31,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-30,-0.05156264340000005,0.0,0.0,0.0,0.0,0.0
2021-12-31,-0.013087490526198287,0.0,0.0,0.0,0.0,0.0
2022-01-31,-0.04794453748172378,-0.06519303089999984,-0.08532765818259591,-0.0852775851639257,-0.0852775851639258,-0.06512058896666217
2022-02-28,-0.05115019038640922,-0.0825396436795145,-0.10487884181368656,-0.10487962039878596,-0.10487962039878607,-0.09737134237524836
2022-03-31,-0.019634388099149858,-0.07581070345386709,-0.09388357233903588,-0.09366624301826243,-0.10360534794061027,-0.06964046924333678
2022-04-30,-0.02040133919547127,-0.08454790496218823,-0.11903968357264105,-0.11878088126964548,-0.10999878883609182,-0.09742210304367616
2022-05-31,-0.01702809042331188,-0.08304178596493261,-0.11903968357264105,-0.11849173763903609,-0.10970676364511145,-0.09551725210113149
2022-06-30,-0.043586437636376596,-0.08232972756557289,-0.14603094103422287,-0.14493600993628697,-0.11588517856158265,-0.13026321476845826
2022-07-31,-0.015851151691302134,-0.08199854394316541,-0.08578673476657028,-0.0847340247553563,-0.11556610496761321,-0.06902817076675949
2022-08-31,-0.015230543786207917,-0.08022007245770313,-0.08491645653991053,-0.08336281731612516,-0.11385266494359003,-0.06763343357288742
2022-09-30,-0.03518512728414458,-0.07831823310801056,-0.08491645653991053,-0.08146747621238581,-0.11202036804375903,-0.06570556864390042
