Date,winningstrat_top4_zero_cash,winningstrat_top4_bil_cash,hybrid_rotation_gate_plus_winning_daily_bil,hybrid_rotation_gate_or_winning_daily_bil
2016-08-26,-0.00027477499413020023,-0.00027477499413020023,0.0,-0.00027477499413020023
2016-08-29,0.001922984478654688,0.001922984478654688,0.00021916012578304667,0.001922984478654688
2016-08-30,-0.002897237836467531,-0.002897237836467531,0.0,-0.002897237836467531
2016-08-31,-0.0009553054185501841,-0.0009553054185501841,0.0,-0.0009553054185501841
2016-09-01,0.0008553591688056916,0.0008553591688056916,0.0,0.0008553591688056916
2016-09-02,0.002858105201753447,0.002858105201753447,0.00021849080428126832,0.002858105201753447
2016-09-06,0.002725079264456143,0.002725079264456143,0.0,0.002725079264456143
2016-09-07,0.00016078324391083365,0.00016078324391083365,-0.00021844307647778116,0.00016078324391083365
2016-09-08,-0.0019968898955838865,-0.0019968898955838865,0.0,-0.0019968898955838865
2016-09-09,-0.021534832698145018,-0.021534832698145018,0.00021849080428126832,-0.021534832698145018
2016-09-12,0.011606612077542322,0.011606612077542322,-0.0004375073181018818,0.011606612077542322
2016-09-13,-0.010796500432234207,-0.010796500432234207,0.00021916012578304667,-0.010796500432234207
2016-09-14,0.0016024748846198977,0.0016024748846198977,0.0,0.0016024748846198977
2016-09-15,0.00907632015897103,0.00907632015897103,0.0,0.00907632015897103
2016-09-16,-0.00027893072059415047,-0.00027893072059415047,0.0,-0.00027893072059415047
2016-09-19,-0.001617601221666598,-0.001617601221666598,0.0,-0.001617601221666598
2016-09-20,0.001786990696116264,0.001786990696116264,0.0,0.001786990696116264
2016-09-21,0.007322994611545175,0.007322994611545175,0.0,0.007322994611545175
2016-09-22,0.005175123212947386,0.005175123212947386,0.00021849080428126832,0.005175123212947386
2016-09-23,-0.004043111529040522,-0.004043111529040522,0.0,-0.004043111529040522
2016-09-26,-0.006902593953657582,-0.006902593953657582,0.0,-0.006902593953657582
2016-09-27,0.006165947742132916,0.006165947742132916,-0.00021844307647778116,0.006165947742132916
2016-09-28,0.005869765371958713,0.005869765371958713,0.0,0.005869765371958713
2016-09-29,-0.005581939968745231,-0.005581939968745231,0.0,-0.005581939968745231
2016-09-30,0.005663545439067941,0.005663545439067941,0.00021849080428126832,0.005663545439067941
2016-10-03,-0.001681253250336745,-0.001681253250336745,-0.00021844307647778116,-0.001681253250336745
2016-10-04,-0.0024865723820547136,-0.0024865723820547136,0.00021849080428126832,-0.0024865723820547136
2016-10-05,0.0023394897572231454,0.0023394897572231454,0.0,0.0023394897572231454
2016-10-06,-0.004177148322173585,-0.004177148322173585,0.0,-0.004177148322173585
2016-10-07,-0.002300505172176198,-0.002300505172176198,0.0,-0.002300505172176198
2016-10-10,0.0025416635596572645,0.0025416635596572645,0.0,0.0025416635596572645
2016-10-11,-0.008909654641425596,-0.008909654641425596,-0.00021844307647778116,-0.008909654641425596
2016-10-12,0.000556296923243077,0.000556296923243077,0.00021849080428126832,0.000556296923243077
2016-10-13,-0.003731553219232908,-0.003731553219232908,-0.00021844307647778116,-0.003731553219232908
2016-10-14,0.0010019056249967462,0.0010019056249967462,0.0,0.0010019056249967462
2016-10-17,-0.002852973476193954,-0.002852973476193954,0.0,-0.002852973476193954
2016-10-18,0.005553573312083893,0.005553573312083893,0.0,0.005553573312083893
2016-10-19,-0.0002575255334923976,-0.0002575255334923976,0.00021849080428126832,-0.0002575255334923976
2016-10-20,0.0005598852489852868,0.0005598852489852868,-0.00021844307647778116,0.0005598852489852868
2016-10-21,0.003484408923482951,0.003484408923482951,0.0,0.003484408923482951
2016-10-24,0.0062353983575863525,0.0062353983575863525,0.0,0.0062353983575863525
