variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_win_share,cagr_win_share,group
"set_[100, 200, 250]__x100_2_200_2_250_2",0.08902858176076628,0.09238454278968618,0.11825435652275998,0.7828769613835591,0.7828769613835591,-0.18736973572786897,7.203308613023889,8.141937102004583,7.141937102004582,1.0,0.0,strategy_rollup
"set_[100, 200]__x100_1_200_1",0.07940541006307511,0.08296742979431002,0.11376278308529121,0.7291091802880235,0.7291091802880235,-0.17346757747746733,7.408889983263626,6.575009279652656,5.575009279652656,1.0,0.0,strategy_rollup
"set_[100, 200]__x100_1_200_2",0.08119267909182643,0.084746271927926,0.11472734423820172,0.7402026903240282,0.7402026903240282,-0.17787996551878205,7.200152922764934,6.808545614873921,5.808545614873921,1.0,0.0,strategy_rollup
"set_[100, 200]__x100_2_200_1",0.08588644708161447,0.08923677538217076,0.11623830729466274,0.7679020586815833,0.7679020586815833,-0.17557876832583888,7.258977173752312,7.64208897479348,6.64208897479348,1.0,0.0,strategy_rollup
"set_[100, 200]__x100_2_200_2",0.08766158325095874,0.09101561751578673,0.11736100192955996,0.7774535927688491,0.7774535927688491,-0.17838615336284447,7.072654301530228,7.91666914572099,6.91666914572099,1.0,0.0,strategy_rollup
sma100_3in_1out,0.06652578248178137,0.07141712653575157,0.11741513534156581,0.6096457359224731,0.6096457359224731,-0.23226222202675628,8.582132231487904,4.852142345893286,3.8521423458932857,1.0,0.0,strategy_rollup
sma100_3in_2out,0.07947756952432838,0.08395581771147304,0.12135500718044898,0.6939891234223863,0.6939891234223863,-0.2193855943654969,7.602666801001585,6.553122463927838,5.553122463927838,1.0,0.0,strategy_rollup
sma100_3in_3out,0.0796341915040421,0.08473884368680301,0.1263717718581159,0.673000457217405,0.673000457217405,-0.22359130223805593,8.541195161749865,6.577779421749746,5.577779421749746,1.0,0.0,strategy_rollup
sma150_3in_1out,0.07490228646116442,0.07958926864497863,0.12016739753227221,0.6667792772830894,0.6667792772830894,-0.278580215412373,10.769187094589745,5.876983390480214,4.876983390480214,1.0,0.0,strategy_rollup
sma150_3in_2out,0.08566041671211927,0.09004212853390733,0.12413697773709992,0.7279520575786277,0.7279520575786277,-0.25105333240054334,8.221439520680589,7.5638310624025795,6.5638310624025795,1.0,0.0,strategy_rollup
sma150_3in_3out,0.08576249950908849,0.0906907112703033,0.12859565733748587,0.706742189141039,0.706742189141039,-0.22642339317769797,8.617641211816675,7.5917171290634196,6.5917171290634196,1.0,0.0,strategy_rollup
sma200_3in_1out,0.09092452590713757,0.09451773305286845,0.1217939003315729,0.7745568634026103,0.7745568634026103,-0.22433283927952158,7.953777540663413,8.656770379277479,7.656770379277478,1.0,0.0,strategy_rollup
sma200_3in_2out,0.09437400262544499,0.09807541732010042,0.12472564980076342,0.7883157778103018,0.7883157778103018,-0.21877106927184337,7.619460510445335,9.246877417642624,8.246877417642624,1.0,0.25,strategy_rollup
sma200_3in_3out,0.09182838156865997,0.09612633409122003,0.12788580574679745,0.7517079342679472,0.7517079342679472,-0.2327684440066397,8.481984966382944,8.79367934319168,7.79367934319168,1.0,0.25,strategy_rollup
sma250_3in_1out,0.08914052734955191,0.09320640714411484,0.12456183222575831,0.7455332636519901,0.7455332636519901,-0.2236796754071642,8.361000358378746,8.414823639865727,7.414823639865727,1.0,0.0,strategy_rollup
sma250_3in_2out,0.09075503736887935,0.09512239333748511,0.12753734302105182,0.7467256995305831,0.7467256995305831,-0.2314488185354878,8.211650608993741,8.493150357303893,7.493150357303893,1.0,0.0,strategy_rollup
sma250_3in_3out,0.09060165625752847,0.09537048930107478,0.130774315131825,0.7276007513170846,0.7276007513170846,-0.23632261344579342,9.067023301343244,8.561082107892293,7.561082107892293,1.0,0.0,strategy_rollup
baseline_buyhold,0.10246312040359218,0.11900967627502965,0.20644819474921938,0.5757907818795329,0.5757907818795329,-0.5409773533592411,15.747245686513033,11.01483838373488,10.01483838373488,,,baseline_rollup
