variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_win_share,cagr_win_share,group
"set_[100, 200, 250]__x100_1_200_2_250_1",0.08814945323757943,0.09187783433241774,0.1209854082896286,0.7598233954484953,0.7598233954484953,-0.18358151512750717,7.555023866169524,7.948041983174939,6.948041983174939,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_2_250_2",0.08854727099658473,0.09236665867625236,0.1218781084666194,0.7596946096611045,0.7596946096611045,-0.19573728226466044,7.461457880591186,7.970176021565947,6.970176021565947,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_1_250_1",0.09216043442934185,0.09568033984461581,0.12200311443952568,0.7847446596242765,0.7847446596242765,-0.18016583265578748,7.571340751232533,8.706339524382265,7.706339524382265,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_1_250_2",0.09259989025585535,0.09616916418845044,0.12261191855461522,0.7861286037254884,0.7861286037254884,-0.19051197135728604,7.461653234544239,8.736774551800643,7.736774551800643,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_2_250_1",0.0930252519181886,0.09659900872346115,0.12297610860309065,0.786806926990605,0.786806926990605,-0.18616153903335056,7.495055954478336,8.84541744470073,7.84541744470073,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_2_250_2",0.09341814976027536,0.09708783306729575,0.12391183148819762,0.7862227940937127,0.7862227940937127,-0.1953978331842019,7.41056394175705,8.87502131844977,7.875021318449771,1.0,0.0,strategy_rollup
"set_[100, 200]__x100_1_200_1",0.08372199420287108,0.08755972257203898,0.11893413390730485,0.7373993993916618,0.7373993993916618,-0.1774115677092621,7.568529623042623,7.1673798711236,6.1673798711236,1.0,0.0,strategy_rollup
"set_[100, 200]__x100_1_200_2",0.08506758508834918,0.08893772589030698,0.11999475516484526,0.7437499339784801,0.7437499339784801,-0.18594475978407857,7.404175212430379,7.361039012951106,6.361039012951106,1.0,0.0,strategy_rollup
"set_[100, 200]__x100_2_200_1",0.09106579112304518,0.09464148415860406,0.12160467251494711,0.7807989518176465,0.7807989518176465,-0.17320087279795704,7.340785288638972,8.441633557295113,7.441633557295113,1.0,0.0,strategy_rollup
"set_[100, 200]__x100_2_200_2",0.09239437818009266,0.09601948747687206,0.12285342330605042,0.7854773922804791,0.7854773922804791,-0.1811869938949063,7.210130180540266,8.679463245086735,7.679463245086734,1.0,0.0,strategy_rollup
sma100_3in_1out,0.06932917538717735,0.07464722535729024,0.12251232350816936,0.6113835158506599,0.6113835158506599,-0.23966354781511745,8.628166847827464,5.148758259449629,4.148758259449629,1.0,0.0,strategy_rollup
sma100_3in_2out,0.08400117152546649,0.08881074853042042,0.1267164173665823,0.7055965142382415,0.7055965142382415,-0.228289009923253,7.692137094656658,7.158139223080011,6.158139223080011,1.0,0.0,strategy_rollup
sma100_3in_3out,0.0828191678966872,0.08843539092040716,0.13231139202435308,0.6711794951913989,0.6711794951913989,-0.23048267412003218,8.904259894837816,7.033230785741533,6.033230785741533,1.0,0.0,strategy_rollup
sma150_3in_1out,0.07670898481644135,0.08195561354492747,0.12592958669027918,0.6541708334828574,0.6541708334828574,-0.3115959493274664,11.982993904150291,6.1223131246772375,5.1223131246772375,1.0,0.0,strategy_rollup
sma150_3in_2out,0.0875323255580891,0.09250769347278702,0.13018169273361332,0.7107182591350821,0.7107182591350821,-0.26697088662947116,8.65759313880052,7.907630057150915,6.907630057150915,1.0,0.0,strategy_rollup
sma150_3in_3out,0.08921418563536092,0.09463893560444121,0.13459641795786048,0.7046773811721024,0.7046773811721024,-0.23480079931177442,9.033951918186405,8.161602144637802,7.1616021446378015,1.0,0.0,strategy_rollup
sma200_3in_1out,0.09666813482442671,0.1004722197867877,0.12736113329777346,0.7896090188306069,0.7896090188306069,-0.2227874774989224,8.096829768113627,9.656426772467517,8.656426772467517,1.0,0.0,strategy_rollup
sma200_3in_2out,0.09919261318678381,0.1032282264233237,0.13070149971191375,0.7932272832866473,0.7932272832866473,-0.2229795266832968,7.844666051523109,10.157899108565616,9.157899108565616,1.0,0.3333333333333333,strategy_rollup
sma200_3in_3out,0.09725161100230961,0.10182197801839721,0.13350563277900104,0.7649780163156987,0.7649780163156987,-0.23104242831295588,8.608442238231598,9.757478626105142,8.757478626105142,1.0,0.3333333333333333,strategy_rollup
sma250_3in_1out,0.09333862240099777,0.09775805121663929,0.13029110983394762,0.7470837385746489,0.7470837385746489,-0.23499580546038187,8.818118275690962,9.207833115751344,8.207833115751344,1.0,0.0,strategy_rollup
sma250_3in_2out,0.09438442525288278,0.09922452424814317,0.1336912752596774,0.7425497500062739,0.7425497500062739,-0.24725832434089154,8.65261411000803,9.155438987260446,8.155438987260446,1.0,0.0,strategy_rollup
sma250_3in_3out,0.09492755731532958,0.10005332695650089,0.13628410068116495,0.7328607137053762,0.7328607137053762,-0.2513339924559114,9.474627941530857,9.353175986856224,8.353175986856224,1.0,0.0,strategy_rollup
baseline_buyhold,0.1065280762441642,0.1237668569445713,0.21150523083855588,0.5851967593862034,0.5851967593862034,-0.5373383763757632,16.36770541181672,11.946896577117036,10.946896577117036,,,baseline_rollup
