variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline
sma200_3in_1out,0.08484263362427447,0.08821186007351992,0.11614029480578825,0.7595284670236914,0.7595284670236914,-0.20986521230450444,8.029258812092161,7.277701211963855,6.277701211963855,1.0,0.0,1.0,0.0,1,1.0,0.1684987056099262,0,0.0,-0.016547837240335816
"set_[100, 150, 200]__x100_2_150_2_200_2",0.0825565949049456,0.0857497779268385,0.11308012996583247,0.7583098635697366,0.7583098635697366,-0.1761975392371139,7.044472896900659,6.912979453786648,5.912979453786648,1.0,0.0,1.0,0.0,1,1.0,0.16728010215597144,0,0.0,-0.01883387595966468
"set_[100, 200, 250]__x100_1_200_2_250_1",0.0808673462453604,0.08401298286516334,0.11151382276513645,0.7533862689122076,0.7533862689122076,-0.17986389801582042,7.130632746350376,6.6548023436280594,5.6548023436280594,1.0,0.0,1.0,0.0,1,1.0,0.16235650749844244,0,0.0,-0.020523124619249877
"set_[100, 150, 200]__x100_2_150_2_200_1",0.08132016710737999,0.08452123810228752,0.11232637356389603,0.7524612023035556,0.7524612023035556,-0.17173121867507601,7.186416899239122,6.723087481881226,5.723087481881226,1.0,0.0,1.0,0.0,1,1.0,0.16143144088979045,0,0.0,-0.02007030375723029
"set_[100, 200, 250]__x100_1_200_1_250_1",0.07967175555871564,0.0827844430406124,0.11043508851727614,0.7496208329444302,0.7496208329444302,-0.17139360560132708,7.301541903828225,6.477689315324334,5.477689315324334,1.0,0.0,1.0,0.0,1,1.0,0.15859107153066498,0,0.0,-0.021718715305894642
"set_[100, 200]__x100_1_200_2",0.07849475905538239,0.0816730732921821,0.11024867340039025,0.7408077646029344,0.7408077646029344,-0.18516365909699192,6.797283832693887,6.307751640621919,5.307751640621919,1.0,0.0,1.0,0.0,1,1.0,0.14977800318916923,0,0.0,-0.022895711809227892
"set_[100, 150, 200]__x100_1_150_2_200_2",0.07851938581903006,0.0818095137526923,0.11127630535100348,0.7351925775630055,0.7351925775630055,-0.1722521451651986,7.154067177371309,6.311263111390487,5.311263111390487,1.0,0.0,1.0,0.0,1,1.0,0.1441628161492403,0,0.0,-0.02287108504558022
"set_[100, 150, 200]__x100_2_150_1_200_2",0.07894684683112385,0.08228340146761798,0.11196862623733608,0.7348790838355439,0.7348790838355439,-0.16986778493560156,7.479168297475232,6.372513236376845,5.372513236376845,1.0,0.0,1.0,0.0,1,1.0,0.14384932242177872,0,0.0,-0.02244362403348643
sma250_3in_1out,0.08473607883723022,0.08869280201112585,0.12097571804064737,0.7331454894223106,0.7331454894223106,-0.21743237898667395,8.498962209404954,7.2602987264309595,6.2602987264309595,1.0,0.0,1.0,0.0,1,1.0,0.14211572800854544,0,0.0,-0.01665439202738006
"set_[100, 200]__x100_1_200_1",0.07663001278835369,0.07983026355535568,0.10923696832788624,0.7307989664793403,0.7307989664793403,-0.1647009376077597,7.129918350271105,6.047235504637659,5.047235504637659,1.0,0.0,1.0,0.0,1,1.0,0.1397692050655751,0,0.0,-0.024760458076256597
