ticker,bucket_years,strategy_cagr,strategy_sharpe,strategy_maxdd,strategy_annvol,strategy_annreturn,strategy_ulcerindex,strategy_totalreturn,buyhold_cagr,buyhold_sharpe,buyhold_maxdd,buyhold_annvol,buyhold_annreturn,buyhold_ulcerindex,buyhold_totalreturn,sharpe_beat_rate,cagr_beat_rate,better_maxdd_rate,avg_sharpe_delta,avg_cagr_delta,avg_maxdd_delta
SPMO,5,0.1322082455533767,0.9887194759730171,-0.14773724176751024,0.1354817211266168,0.13330005852600257,5.890168461487032,0.8624375402632958,0.15562704841662897,0.8080040747612687,-0.28210434476059804,0.2095647790388108,0.16643361144625585,7.640138395718876,1.0759260136964306,1.0,0.0,1.0,0.18071540121174834,-0.023418802863252264,0.13436710299308777
DGRO,7,0.09067768107924379,0.8158423536216497,-0.14584124014496253,0.11447802637728792,0.09338670438074664,5.703745276892411,0.8345096127216853,0.1156413613125441,0.6911401594654856,-0.3510317341787552,0.1824029606309113,0.12611170764093302,6.282999390530545,1.150975351906231,1.0,0.0,1.0,0.12470219415616413,-0.02496368023330031,0.20519049403379272
DGRW,7,0.0824321724029593,0.7594093861997799,-0.15848701582587393,0.112702172756687,0.08559334420063872,5.809870190077108,0.7397048709506323,0.12047773189283695,0.7364182945310616,-0.3203581348253538,0.17536395056314474,0.12918614492026542,5.547503799784691,1.2170356038386254,0.5,0.0,1.0,0.02299109166871849,-0.038045559489877645,0.16187111899947984
EQWL,7,0.10426008152451205,0.8868986756615354,-0.1422049720311003,0.1202347288610843,0.10645480367212419,5.244037209736633,1.0005632406022889,0.11830569525840295,0.7039227028052149,-0.3429564784660153,0.18221325515713757,0.12842192400037986,6.85478890294788,1.1941825079830446,1.0,0.5,1.0,0.1829759728563206,-0.014045613733890905,0.20075150643491496
IWY,7,0.15443094233743437,0.965717413739335,-0.24592331459818512,0.1624512994287753,0.15691776583028672,7.187117328431034,1.731436497050759,0.15889113520294562,0.7751230706714294,-0.3250690602504738,0.2209585164755906,0.17186008981070322,9.96049594621376,1.8226486229097403,1.0,0.5,1.0,0.19059434306790557,-0.004460192865511248,0.07914574565228862
QQQ,7,0.1655016309874029,0.9647730057510372,-0.25175141971295034,0.1745412498747268,0.16848888976527523,6.902108410387019,1.9200209713114877,0.16802740732538546,0.776646945844184,-0.3483727164641075,0.23493543996454755,0.18289515346807497,10.449821082471729,1.982099618050718,1.0,0.5,1.0,0.18812605990685316,-0.002525776337982566,0.09662129675115719
SCHG,7,0.13759083102298553,0.7824683002490814,-0.29984218925848627,0.18730571534350643,0.14658517499896112,9.497529318743725,1.4659207214324024,0.14712004351790753,0.7105387254518839,-0.34157506131680315,0.2286752268560011,0.16332715250073043,10.519630584223886,1.638560452171694,0.5,0.5,1.0,0.07192957479719753,-0.009529212494922001,0.04173287205831694
SPHQ,7,0.10694299179161693,0.870691142596095,-0.1585655158919954,0.12534063774646056,0.10943872479630402,5.8856463590096695,1.0400690792982457,0.12329741152408147,0.6990450471668982,-0.3159408568267438,0.19197556340534522,0.13453113275928466,7.084700917263854,1.2739691239726816,1.0,0.0,1.0,0.1716460954291968,-0.016354419732464542,0.15737534093474836
SPMO,7,0.14035934727927024,0.9737447314826699,-0.1503951163260438,0.14534168112317478,0.14189602951453867,5.981534965213822,1.5138645833339972,0.14905778407405268,0.7616304261209916,-0.30947559425358134,0.21062332608018558,0.16104047798542814,7.36127001649092,1.6702912044700022,1.0,0.5,1.0,0.21211430536167836,-0.008698436794782438,0.15908047792753754
DGRO,10,0.09813745466911916,0.893775575323703,-0.14705599632503286,0.11177020808033213,0.09989748203104883,5.617425709299398,1.545425345022584,0.12674611622353504,0.7949150171363021,-0.3510317341787551,0.16794120981633068,0.1334989896790398,5.891620930734077,2.2902765538585825,1.0,0.0,1.0,0.09886055818740092,-0.028608661554415882,0.20397573785372225
DGRW,10,0.09954950648000893,0.9066625730674763,-0.15848701582587424,0.11157495874481822,0.1011608391854744,5.47526483368085,1.5782802734835486,0.1344990692934065,0.8526579223698777,-0.3203581348253537,0.163815042154509,0.1396781934963976,5.272110830675743,2.523335953780785,1.0,0.0,1.0,0.05400465069759863,-0.03494956281339756,0.16187111899947945
EQWL,10,0.11323491926916573,0.9679190701048356,-0.14220497203110036,0.11807954311849791,0.11429144157366034,5.015271953881589,1.917049937191511,0.13512093426247573,0.8310141598451047,-0.3429564784660154,0.17001026679173548,0.14128093902297614,6.444514145881944,2.5426579760938655,1.0,0.0,1.0,0.13690491025973084,-0.02188601499331,0.20075150643491504
IWY,10,0.1802364509806893,1.13598825882808,-0.24592331459818512,0.15679327703944607,0.17811532177998912,6.6155668690014044,4.227117682534311,0.190401113043988,0.9384890874229911,-0.32684424613736934,0.20910405270336754,0.1962418715980324,9.953816454558378,4.694182615216617,1.0,0.0,1.0,0.197499171405089,-0.01016466206329869,0.08092093153918423
QQQ,10,0.18938966494509635,1.1092771889984645,-0.2517514197129505,0.1693933042443841,0.18790412836737203,6.490299627580056,4.64608064864884,0.19556436302811453,0.9115839533522938,-0.35118721837334343,0.22344127392249313,0.20368547982433907,10.460970207631947,4.9455285176112005,1.0,0.0,1.0,0.1976932356461707,-0.006174698083018182,0.09943579866039293
SCHG,10,0.1638438337038286,0.9322231161919257,-0.32599732113164465,0.1802572135257165,0.16803994130901675,10.325216709694537,3.5461071191561606,0.17827742613772735,0.8704093980745263,-0.34591306711334974,0.21520350516639977,0.1873151533954142,10.511341577532185,4.1411696121891515,1.0,0.0,1.0,0.06181371811739933,-0.014433592433898745,0.01991574598170509
SPHQ,10,0.11424157764642895,0.9482456176678977,-0.1607840005480714,0.12196319280557705,0.1156510630946733,5.915195046728441,1.943482580469868,0.13873183573214942,0.818223270662127,-0.31594085682674355,0.17824639995810176,0.14584535235746762,6.784628921354082,2.6567489994157376,1.0,0.0,1.0,0.13002234700577076,-0.024490258085720473,0.15515685627867215
SPMO,10,0.1644056685652795,1.1381334385387558,-0.1503951163260437,0.14275222436631935,0.16247107997709498,5.9699408691238025,3.5680570232879267,0.18170464748611992,0.9396568930731278,-0.3094755942535812,0.19886603680471496,0.1868658422816847,7.215387266769096,4.292376910375083,1.0,0.0,1.0,0.19847654546562798,-0.017298978920840424,0.1590804779275375
