window_id,bucket_years,window_source,start,end,trading_days,span_years,ticker,variant,baseline_variant,strategy_cagr,strategy_annreturn,strategy_annvol,strategy_sharpe,strategy_sharpe_norf,strategy_maxdd,strategy_ulcerindex,strategy_totalmultiple,strategy_totalreturn,buyhold_cagr,buyhold_annreturn,buyhold_annvol,buyhold_sharpe,buyhold_sharpe_norf,buyhold_maxdd,buyhold_ulcerindex,buyhold_totalmultiple,buyhold_totalreturn,sharpe_delta,cagr_delta,maxdd_delta,strategy_beats_buyhold_sharpe,strategy_beats_buyhold_cagr,strategy_better_maxdd
03y_02,3,rolling,2017-04-12,2020-04-09,754,2.992063492063492,SPMO,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.029394944763496023,0.03686100787010486,0.12516595407455056,0.2944970790391606,0.2944970790391606,-0.13079046756555446,5.2325076417082705,1.0905516421818735,0.0905516421818735,0.1273815395113762,0.14789898493434603,0.2353897965668125,0.628315190766422,0.628315190766422,-0.3094755942535812,6.239316594769906,1.431526843225626,0.43152684322562607,-0.33381811172726134,-0.09798659474788018,0.17868512668802672,0.0,0.0,1.0
03y_03,3,rolling,2018-10-12,2021-10-11,754,2.992063492063492,DGRO,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.11882714478603384,0.12070049167317487,0.12928965584019986,0.9335665014249783,0.9335665014249783,-0.14462648396489208,4.8182396040725415,1.3992714590520081,0.3992714590520081,0.15786493626700704,0.17333071612088613,0.23076656789990252,0.7511084369728556,0.7511084369728556,-0.3510317341787552,6.772892011000228,1.5504882721704372,0.5504882721704372,0.18245806445212276,-0.039037791480973194,0.20640525021386313,1.0,0.0,1.0
03y_03,3,rolling,2018-10-12,2021-10-11,754,2.992063492063492,DGRW,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.10405020331427606,0.1066370409773865,0.12327293513913065,0.865048283769927,0.865048283769927,-0.138324096905419,4.679655490555701,1.344699628979673,0.3446996289796731,0.1490231515643694,0.16272729371530542,0.21759018759328574,0.7478613604556069,0.7478613604556069,-0.3203581348253543,5.972829936628056,1.5153311055107783,0.5153311055107783,0.11718692331432012,-0.04497294825009335,0.1820340379199353,1.0,0.0,1.0
03y_03,3,rolling,2018-10-12,2021-10-11,754,2.992063492063492,EQWL,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.140146259933422,0.14031051452445545,0.13473691729865606,1.0413665188245702,1.0413665188245702,-0.14220497203110025,4.72105389251751,1.4805723442000354,0.48057234420003536,0.17629013518637926,0.18687468559367224,0.22041451212782964,0.8478329479743787,0.8478329479743787,-0.34295647846601535,6.7710727549903265,1.625487844270779,0.625487844270779,0.19353357085019152,-0.03614387525295726,0.2007515064349151,1.0,0.0,1.0
03y_03,3,rolling,2018-10-12,2021-10-11,754,2.992063492063492,SPHQ,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.1593644636004734,0.15746190807399624,0.13790833527389973,1.1417867365396093,1.1417867365396093,-0.13699027759084428,3.7893459675096364,1.5565041064970813,0.5565041064970813,0.18601459680246424,0.19752004365708473,0.23172414339455671,0.8523930254464998,0.8523930254464998,-0.3159408568267438,5.714831953915556,1.6660271948722456,0.6660271948722456,0.2893937110931095,-0.026650133201990833,0.1789505792358995,1.0,0.0,1.0
03y_03,3,rolling,2018-10-12,2021-10-11,754,2.992063492063492,QQQ,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.19588880166310219,0.1982048310422986,0.19545829998826109,1.0140517494227796,1.0140517494227796,-0.2517514197129503,6.826221426978697,1.7078739086917902,0.7078739086917902,0.2810180485579419,0.28184960415316757,0.26042615529780033,1.0822630462399958,1.0822630462399958,-0.2855936503411692,6.038307799735784,2.098032120612579,1.098032120612579,-0.06821129681721616,-0.0851292468948397,0.033842230628218894,0.0,0.0,1.0
03y_03,3,rolling,2018-10-12,2021-10-11,754,2.992063492063492,SCHG,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.2330758686264196,0.22514458584189379,0.17603697005506064,1.2789619462972655,1.2789619462972655,-0.18682840967210704,4.115951606429865,1.8717474698420866,0.8717474698420866,0.25746516905957284,0.26103943106170463,0.2515864008981155,1.0375736928937478,1.0375736928937478,-0.32392037665242257,6.150884023179781,1.984715412114703,0.984715412114703,0.24138825340351766,-0.024389300433153238,0.13709196698031553,1.0,0.0,1.0
03y_03,3,rolling,2018-10-12,2021-10-11,754,2.992063492063492,IWY,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.17542261212138133,0.17843451793169596,0.1823279870458715,0.9786457955399026,0.9786457955399026,-0.2459233145981851,6.875677396162912,1.6219035633317058,0.6219035633317058,0.2542560678841461,0.2569454655333276,0.2457494881430569,1.045558497292793,1.045558497292793,-0.3075693047931988,5.990740274679505,1.96959888307961,0.9695988830796101,-0.06691270175289032,-0.07883345576276479,0.061645990195013683,0.0,0.0,1.0
03y_03,3,rolling,2018-10-12,2021-10-11,754,2.992063492063492,SPMO,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.15866952903238074,0.15939579301910997,0.15520846198941401,1.0269787547407148,1.0269787547407148,-0.14242149265044393,4.10932293191851,1.553714225406022,0.5537142254060221,0.18645989717448552,0.2037024484448402,0.2545720666082637,0.800175962582329,0.800175962582329,-0.3094755942535813,5.820351354284411,1.6678995072906018,0.6678995072906018,0.22680279215838572,-0.027790368142104782,0.16705410160313736,1.0,0.0,1.0
03y_04,3,rolling,2020-04-13,2023-04-12,756,3.0,DGRO,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.060051224377979606,0.06328307100638349,0.0997351562553788,0.6345111732150175,0.6345111732150175,-0.14035007946328346,5.323307833280328,1.1911886754775476,0.1911886754775476,0.15609200235339582,0.16042647991853917,0.17511789503971795,0.9161055749451155,0.9161055749451155,-0.19312987278863974,6.651211820406519,1.5451732835262149,0.5451732835262149,-0.281594401730098,-0.09604077797541621,0.05277979332535629,0.0,0.0,1.0
