strategy,start,end,months,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,best_year,worst_year,monthly_win_rate,total_return,switches,exposure_ADX,exposure_IEF,exposure_KYN,exposure_NMZ,exposure_RQI,lookbacks,defensive_asset,exposure_TLT,exposure_SHY,exposure_BIL,exposure_SGOV,exposure_Cash
sens_cefs_7m_TLT,2006-09-30,2026-05-31,237,0.09743001456489875,0.12724685251012705,0.6945023570645636,1.0913882622955127,-0.3335699296601896,0.29208272659394535,0.31012189776442867,-0.25651888382961174,0.6286919831223629,5.272525996084654,127,0.18143459915611815,,0.16244725738396623,0.1540084388185654,0.16244725738396623,7,TLT,0.339662447257384,,,,
sens_cefs_7m_SHY,2006-09-30,2026-05-31,237,0.09430650212354497,0.09772186008234766,0.8411233049553554,1.3698175089189528,-0.14076900459735775,0.6699379767107845,0.31730204604716405,-0.11640365485017379,0.6286919831223629,4.929182925360445,127,0.18143459915611815,,0.16244725738396623,0.1540084388185654,0.16244725738396623,7,SHY,,0.339662447257384,,,
sens_cefs_7m_BIL,2006-09-30,2026-05-31,237,0.09096809585361121,0.09760417225048558,0.8104745253778333,1.314684034547845,-0.12010778994316662,0.7573871428044432,0.3235316678714817,-0.11883410128161209,0.6160337552742616,4.58197637084431,127,0.18143459915611815,,0.16244725738396623,0.1540084388185654,0.16244725738396623,7,BIL,,,0.339662447257384,,
sens_cefs_7m_SGOV,2006-09-30,2026-05-31,237,0.08862692649029391,0.09780204210610556,0.7869053877183654,1.2946914054350724,-0.12491125312379125,0.7095191527897142,0.32017225436684615,-0.12491125312379148,0.5738396624472574,4.3500972229459745,127,0.18143459915611815,,0.16244725738396623,0.1540084388185654,0.16244725738396623,7,SGOV,,,,0.339662447257384,
sens_cefs_7m_Cash,2006-09-30,2026-05-31,237,0.08515076000144206,0.09786914185856159,0.7535206982070777,1.248085297364724,-0.13959576230544135,0.6099809807630739,0.32017225436684615,-0.12491125312379148,0.5485232067510548,4.0226053913848485,127,0.18143459915611815,,0.16244725738396623,0.1540084388185654,0.16244725738396623,7,Cash,,,,,0.339662447257384
sens_cefs_9m_IEF,2006-11-30,2026-05-31,235,0.07628284485219594,0.10087351171306408,0.6517358764814271,1.0520887337083313,-0.13074526894446148,0.5834463110447208,0.30772639141789226,-0.09146032492328537,0.625531914893617,3.2191569953177632,134,0.18723404255319148,0.3478723404255319,0.15851063829787235,0.14680851063829786,0.1595744680851064,9,IEF,,,,,
sens_cefs_9m_TLT,2006-11-30,2026-05-31,235,0.07246979948549037,0.12236667673748745,0.5273913968999161,0.8366278537204276,-0.21771996269407123,0.3328578536793209,0.30772639141789226,-0.19452168859457775,0.5829787234042553,2.9358721385268387,134,0.18723404255319148,,0.15851063829787235,0.14680851063829786,0.1595744680851064,9,TLT,0.3478723404255319,,,,
sens_cefs_9m_SHY,2006-11-30,2026-05-31,235,0.06907831699777423,0.09384090766098274,0.6213791577328206,0.928351515908614,-0.1547009088428618,0.44652819116881115,0.30772639141789226,-0.07230749395894676,0.6127659574468085,2.6991600769535573,134,0.18723404255319148,,0.15851063829787235,0.14680851063829786,0.1595744680851064,9,SHY,,0.3478723404255319,,,
sens_cefs_9m_BIL,2006-11-30,2026-05-31,235,0.06623968352825815,0.0939034061062485,0.5925750414330624,0.8589010737564,-0.19087968336729966,0.3470232261481524,0.30772639141789226,-0.1052344859668779,0.6170212765957447,2.511483716135376,134,0.18723404255319148,,0.15851063829787235,0.14680851063829786,0.1595744680851064,9,BIL,,,0.3478723404255319,,
sens_cefs_9m_SGOV,2006-11-30,2026-05-31,235,0.06418036938518124,0.09424028228984409,0.5701830641683743,0.8287181311491801,-0.2101084079218225,0.30546311792082864,0.30772639141789226,-0.11566808983045695,0.5872340425531914,2.3810260417934717,134,0.18723404255319148,,0.15851063829787235,0.14680851063829786,0.1595744680851064,9,SGOV,,,,0.3478723404255319,
sens_cefs_9m_Cash,2006-11-30,2026-05-31,235,0.060680761555678586,0.09422453233450301,0.5351225731926322,0.784364840092851,-0.2101084079218225,0.2888069171332581,0.30772639141789226,-0.11566808983045695,0.5617021276595745,2.1698123056263077,134,0.18723404255319148,,0.15851063829787235,0.14680851063829786,0.1595744680851064,9,Cash,,,,,0.3478723404255319
sens_cefs_12m_IEF,2007-02-28,2026-05-31,232,0.0665170900089147,0.10680585640863456,0.5343044150849783,0.7693327011919927,-0.173668477646729,0.3830118793591414,0.2410185452697431,-0.13420959434765167,0.6120689655172413,2.473051057667117,114,0.19288793103448276,0.33405172413793105,0.16594827586206898,0.1411637931034483,0.16594827586206898,12,IEF,,,,,
sens_cefs_12m_TLT,2007-02-28,2026-05-31,232,0.0654984854610543,0.127485180381601,0.45878252859336277,0.6804859589624102,-0.2564557148884473,0.2553988141365644,0.29990446651128355,-0.1973110749474336,0.5862068965517241,2.409480231841385,114,0.19288793103448276,,0.16594827586206898,0.1411637931034483,0.16594827586206898,12,TLT,0.33405172413793105,,,,
sens_cefs_12m_SHY,2007-02-28,2026-05-31,232,0.06213549665333673,0.09939172196925751,0.5249794898321754,0.6898461048522446,-0.18396733724833048,0.3377528727801414,0.2410185452697431,-0.14403607438352894,0.6206896551724138,2.2073413444471375,114,0.19288793103448276,,0.16594827586206898,0.1411637931034483,0.16594827586206898,12,SHY,,0.33405172413793105,,,
