strategy,start,end,months,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,best_year,worst_year,monthly_win_rate,total_return,switches,regime,defensive_exposure
B2_original_cefs_sgov,2020-01-31,2021-12-31,24,0.2247775867343733,0.15183808468143603,1.4186347453731776,3.96760919171904,-0.056681188524173254,3.965647026588208,0.2986683150012841,0.15509104183033262,0.5833333333333334,0.5000801369668755,0,2020_to_2021,0.2604166666666667
B2_original_cefs_sgov,2022-01-31,2026-05-31,53,0.07543441905564041,0.09556412046413458,0.810844478714066,1.3728446155393312,-0.08347423225611428,0.9036850895997912,0.27677890949735073,-0.04735808484718973,0.6226415094339622,0.378782298514277,0,2022_to_latest,0.4009433962264151
C_etfs_ief,2006-09-30,2012-12-31,76,0.08765830786921547,0.09710511564518444,0.9169854069772632,1.3748622270467272,-0.14074991638350598,0.6227947420613023,0.15159166950503034,-0.010311458884333602,0.6447368421052632,0.7026251700463579,0,2006_to_2012,0.35855263157894735
C_etfs_ief,2013-01-31,2019-12-31,84,0.060492029642453815,0.05890840863533203,1.0290446676462424,1.332359568284566,-0.06426602991150387,0.941275347578698,0.1352306750096519,-0.006438145451434396,0.7142857142857143,0.5085227418992027,0,2013_to_2019,0.30357142857142855
C_etfs_ief,2020-01-31,2021-12-31,24,0.17565481904905722,0.08674592324522497,1.9205946270122944,5.746068669303469,-0.027520196600000046,6.3827603269758955,0.29624345062614466,0.06628446445428415,0.7083333333333334,0.38216425355327144,0,2020_to_2021,0.23958333333333334
C_etfs_ief,2022-01-31,2026-05-31,53,0.024892909775233063,0.09459089307801585,0.3076866980282398,0.49714997686614004,-0.09661175926296639,0.2576592121408052,0.06386239019379247,-0.039999588661399965,0.5660377358490566,0.11471366489701018,0,2022_to_latest,0.4528301886792453
D_etfs_bil,2006-09-30,2012-12-31,76,0.05399873289233725,0.08984441506415713,0.6317883420611997,0.811816976529152,-0.18250684255083294,0.2958723746332809,0.20928806909845799,-0.14601798534689914,0.6578947368421053,0.395255989631381,0,2006_to_2012,0.35855263157894735
D_etfs_bil,2013-01-31,2019-12-31,84,0.0505886869972072,0.05755385718055872,0.8881124429183525,1.1754838845380065,-0.062074853061563906,0.8149626539918655,0.12390113374432343,-0.02805486493513265,0.6904761904761905,0.4126319977575361,0,2013_to_2019,0.30357142857142855
D_etfs_bil,2020-01-31,2021-12-31,24,0.15975855974337305,0.08952158702972146,1.70972933097337,4.26833465083398,-0.040698620022781684,3.9254048332337983,0.3037462486378213,0.031673086924197236,0.5833333333333334,0.34503991689802294,0,2020_to_2021,0.23958333333333334
D_etfs_bil,2022-01-31,2026-05-31,53,0.03298072998837154,0.0740165869784364,0.4760513255959125,0.6661752081485041,-0.07961973221809049,0.4142280948400119,0.06949289293783778,-0.02472197102482543,0.6226415094339622,0.15409255133686428,0,2022_to_latest,0.4528301886792453
D2_etfs_sgov,2006-09-30,2012-12-31,76,0.050041632263856384,0.09005101199253866,0.5885783096523581,0.7650961670117047,-0.1954464406601779,0.2560375727223583,0.20695835020493902,-0.15606606089427644,0.5921052631578947,0.36241039919915585,0,2006_to_2012,0.35855263157894735
D2_etfs_sgov,2013-01-31,2019-12-31,84,0.04841453913967997,0.05767773303549877,0.8502706836590896,1.133247597027687,-0.06575195525829813,0.7363209040626952,0.1242664091346235,-0.03586297582746267,0.6904761904761905,0.3922949406500391,0,2013_to_2019,0.30357142857142855
D2_etfs_sgov,2020-01-31,2021-12-31,24,0.15901570854750902,0.08973857743194412,1.6985842684613386,4.382407686677879,-0.04211600353629552,3.7756599676051756,0.3037808200323331,0.03032456991242638,0.5833333333333334,0.3433174126598846,0,2020_to_2021,0.23958333333333334
D2_etfs_sgov,2022-01-31,2026-05-31,53,0.03359164543984239,0.07403439775754052,0.483958660603938,0.6771251326291592,-0.07931224723135655,0.42353667450443566,0.07059059156073477,-0.0239302409640898,0.6226415094339622,0.15711015999819078,0,2022_to_latest,0.4528301886792453
E_original_cefs_6m_ief,2006-08-31,2012-12-31,77,0.14083367744783626,0.10865018887653552,1.2733150197227634,2.1113772730696736,-0.15001178968439055,0.9388173939137444,0.25189325368959126,-0.0045585101663574434,0.6623376623376623,1.3290383371044143,0,2006_to_2012,0.33766233766233766
E_original_cefs_6m_ief,2013-01-31,2019-12-31,84,0.05713259366518364,0.0784273162038751,0.7494782651100076,0.9520081428264917,-0.10538798808507899,0.5421167507160388,0.15527513222471678,-0.1053879880850791,0.6428571428571429,0.47538798648641767,0,2013_to_2019,0.2976190476190476
E_original_cefs_6m_ief,2020-01-31,2021-12-31,24,0.15796969558714746,0.12387288393205251,1.2523358609709374,2.5337938763926964,-0.08373770539288683,1.886482258451834,0.2945544575905452,0.035795603681202603,0.7083333333333334,0.3408938158981909,0,2020_to_2021,0.3125
E_original_cefs_6m_ief,2022-01-31,2026-05-31,53,0.07480770265724135,0.11674673376679055,0.6777866593014686,1.2988831111613135,-0.12602023912026283,0.5936165744444536,0.22481876054716698,-0.15257528539808418,0.5471698113207547,0.37523706310432314,0,2022_to_latest,0.42452830188679247
F_original_cefs_12m_ief,2007-02-28,2012-12-31,71,0.08598000697538444,0.10800958940693403,0.8198092663783104,1.4852047200086052,-0.12321616623636389,0.6977981023240909,0.2410185452697431,-0.05919075810627994,0.5915492957746479,0.6290928102017237,0,2006_to_2012,0.36971830985915494
F_original_cefs_12m_ief,2013-01-31,2019-12-31,84,0.05336921464875366,0.08478815487209929,0.657359091336919,0.8172655888113148,-0.15201042190756742,0.35108918177469267,0.18875470101723124,-0.13420959434765167,0.6428571428571429,0.4390117888085041,0,2013_to_2019,0.27380952380952384
F_original_cefs_12m_ief,2020-01-31,2021-12-31,24,0.029227745918373182,0.13839989718224693,0.2797174242046029,0.3280185134231976,-0.15887909828986868,0.18396218403158549,0.18339993458181336,-0.10485904045401928,0.5833333333333334,0.05930975296821517,0,2020_to_2021,0.34375
F_original_cefs_12m_ief,2022-01-31,2026-05-31,53,0.0789062334501871,0.11883638656357694,0.7003906883701024,1.3695341233729312,-0.1389865834149101,0.5677255423613949,0.2142795642221036,-0.12757487573108817,0.6037735849056604,0.3985500668884858,0,2022_to_latest,0.37735849056603776
G_original_cefs_3_6_12m_ief,2007-02-28,2012-12-31,71,0.09570707264446643,0.11791434787606633,0.8367681849405466,1.3852779546571174,-0.1709102136854428,0.5599845122223859,0.22693296420768205,-0.07404770991775123,0.5915492957746479,0.7173504085730755,0,2006_to_2012,0.3415492957746479
G_original_cefs_3_6_12m_ief,2013-01-31,2019-12-31,84,0.07746636357947612,0.07790688972864404,0.9997187527297146,1.4314132341749137,-0.1013316465486851,0.7644834187339211,0.18158161187323696,-0.079657285304509,0.6666666666666666,0.6858776317124984,0,2013_to_2019,0.2767857142857143
G_original_cefs_3_6_12m_ief,2020-01-31,2021-12-31,24,0.12922244202091093,0.11877284216709273,1.0875652484452274,2.374959878812634,-0.08190179535873254,1.5777730079653616,0.30772639141789226,-0.02491581424681255,0.6666666666666666,0.2751433235636698,0,2020_to_2021,0.25
G_original_cefs_3_6_12m_ief,2022-01-31,2026-05-31,53,0.09044745801943121,0.11424549974722663,0.817580198642581,1.5620821535135156,-0.1003286369909927,0.9015118786827673,0.2549843796625053,-0.09614513231215183,0.6037735849056604,0.4658435528820841,0,2022_to_latest,0.37735849056603776
SPY_buy_hold,2006-02-28,2012-12-31,83,0.03770686046380001,0.16534784360164195,0.3086564344656807,0.4012423937163773,-0.5078482095527795,0.07424828867075334,0.26351724764636253,-0.36794993706968937,0.6144578313253012,0.29176424146117874,0,2006_to_2012,0.0
SPY_buy_hold,2013-01-31,2019-12-31,84,0.14588696130413759,0.1103086980459155,1.2968322187169146,1.8307107797383708,-0.13532113286078062,1.0780796629468596,0.3230778550695075,-0.0456901666774131,0.75,1.594134229640361,0,2013_to_2019,0.0
SPY_buy_hold,2020-01-31,2021-12-31,24,0.2342074100728846,0.1901971555257168,1.2116918308958164,1.6847012060811124,-0.19415120893136117,1.2063144564589583,0.2872876696192679,0.18331587183565823,0.6666666666666666,0.5232679310788173,0,2020_to_2021,0.0
SPY_buy_hold,2022-01-31,2026-05-31,53,0.12590772872878997,0.16106900109987243,0.82040713144194,1.466320104352141,-0.20247000302543428,0.621858679544611,0.2617576730114233,-0.18175360053974365,0.6415094339622641,0.6883819534095397,0,2022_to_latest,0.0
CEF_equal_weight_buy_hold,2006-02-28,2012-12-31,83,0.0748746626509087,0.21560892236263574,0.44987850016253494,0.46279331180323763,-0.5557411725558985,0.13472937825814502,0.6853380580642539,-0.4351913390952522,0.6385542168674698,0.6477511652660417,0,2006_to_2012,0.0
CEF_equal_weight_buy_hold,2013-01-31,2019-12-31,84,0.08698008692713888,0.118078686842462,0.7678578551140359,1.1195924101041772,-0.18075691115188008,0.4811992325651897,0.32729642212487575,-0.11792171572406829,0.6428571428571429,0.7928795612713548,0,2013_to_2019,0.0
CEF_equal_weight_buy_hold,2020-01-31,2021-12-31,24,0.11163172873847005,0.3036059636752332,0.5174572432593924,0.5015526745991377,-0.35732638109909387,0.3124083041255,0.30772639142218106,-0.05505837578593109,0.6666666666666666,0.23572510033807936,0,2020_to_2021,0.0
CEF_equal_weight_buy_hold,2022-01-31,2026-05-31,53,0.10184408732961336,0.17574489154799186,0.6418241442478525,1.0801516165631506,-0.18981827167177312,0.5365346888508102,0.27677890945241757,-0.15709119992649734,0.5660377358490566,0.5347252651530059,0,2022_to_latest,0.0
ETF_equal_weight_buy_hold,2006-02-28,2012-12-31,83,0.05468152617114108,0.15467599277953564,0.42404516016054505,0.533209240165302,-0.42150401206812704,0.12972955085965585,0.22845572961526317,-0.2764570034541841,0.6385542168674698,0.4451821689948987,0,2006_to_2012,0.0
ETF_equal_weight_buy_hold,2013-01-31,2019-12-31,84,0.07296544802122962,0.08837114263338638,0.8434226734764063,1.1903139482768053,-0.10746799485214753,0.678950492391843,0.19874063264814845,-0.06680516119893498,0.6547619047619048,0.6371940525211885,0,2013_to_2019,0.0
ETF_equal_weight_buy_hold,2020-01-31,2021-12-31,24,0.1253122457563809,0.2051005746406791,0.683878795532481,0.7661559618902191,-0.23356167751374712,0.5365274264610691,0.30557416272163396,-0.030060729901816186,0.6666666666666666,0.26632765044926954,0,2020_to_2021,0.0
ETF_equal_weight_buy_hold,2022-01-31,2026-05-31,53,0.09133458256258176,0.12877975090607552,0.7458046744979299,1.1535356230751312,-0.13449196888080928,0.6791080785167561,0.12423935783051787,-0.0031286047853682497,0.6226415094339622,0.4711178629020649,0,2022_to_latest,0.0
