Date,A_original_cefs_ief,B_original_cefs_bil,B2_original_cefs_sgov,C_etfs_ief,D_etfs_bil,D2_etfs_sgov,E_original_cefs_6m_ief,F_original_cefs_12m_ief,G_original_cefs_3_6_12m_ief,SPY_buy_hold,CEF_equal_weight_buy_hold,ETF_equal_weight_buy_hold
2009-06-30,0.0143724283,0.0143724283,0.0143724283,-0.0281651102,-0.0281651102,-0.0281651102,0.0143724283,-0.00557161,0.0143724283,-0.0006549003833102862,0.01437242832182864,-0.028165110231388124
2009-07-31,0.0654697719,0.0654697719,0.0654697719,0.0634205846,0.0634205846,0.0634205846,0.0654697719,0.0083168139,0.0419538255,0.07460559212310724,0.06546977193724512,0.06342058459610567
2009-08-31,0.0564301667,0.0564301667,0.0564301667,0.0524752468,0.0524752468,0.0524752468,0.0564301667,0.0076340719,0.0564301667,0.03693986715786335,0.05643016666685585,0.0524752468314692
2009-09-30,0.0800821641,0.0800821641,0.0800821641,0.0482074872,0.0482074872,0.0482074872,0.0800821641,0.0112433069,0.0800821641,0.03545721793972301,0.08008216412294272,0.04820748722566576
2009-10-31,-0.0295775464,-0.0295775464,-0.0295775464,-0.0163151291,-0.0163151291,-0.0163151291,-0.0295775464,0.0055500291,-0.0295775464,-0.01922530143503043,-0.029577546358573792,-0.01631512907126287
2009-11-30,0.0578445131,0.0578445131,0.0578445131,0.040216105,0.040216105,0.040216105,0.0578445131,0.0474131141,0.0578445131,0.06160681330588713,0.05784451306789634,0.04021610502322287
2009-12-31,0.0534602863,0.0534602863,0.0534602863,0.0263856996,0.0263856996,0.0263856996,0.0534602863,0.0534602863,0.0534602863,0.0191006047953024,0.05346028625870247,0.02638569958025666
2010-01-31,-0.0387334163,-0.0387334163,-0.0387334163,-0.0329457471,-0.0329457471,-0.0329457471,-0.0387334163,-0.0387334163,-0.0387334163,-0.03634211204670401,-0.038733416301076656,-0.03294574707041226
2010-02-28,0.0481909771,0.0481909771,0.0481909771,0.0313901298,0.0313901298,0.0313901298,0.0481909771,0.0481909771,0.0481909771,0.031194522517033807,0.048190977087697456,0.03139012984222378
2010-03-31,0.0870563465,0.0870563465,0.0870563465,0.0475671629,0.0475671629,0.0475671629,0.0870563465,0.0870563465,0.0870563465,0.060879658819860794,0.08705634653555044,0.04756716287098364
2010-04-30,0.0366157328,0.0366157328,0.0366157328,0.0349905166,0.0349905166,0.0349905166,0.0366157328,0.0366157328,0.0366157328,0.015470155842352229,0.0366157327681072,0.03499051657676061
2010-05-31,-0.0778896832,-0.0778896832,-0.0778896832,-0.0597510428,-0.0597510428,-0.0597510428,-0.0778896832,-0.0778896832,-0.0778896832,-0.07945461872849202,-0.07788968320461881,-0.05975104280615609
