variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline
"set_[100, 150, 200]__x100_2_150_1_200_1",0.10622772556801663,0.10851841935753755,0.12257458581608674,0.8853256051002341,0.8853256051002341,-0.19201726057029542,5.94950524196082,3.1085304034200796,2.1085304034200796,0.0,0.0,0.0,0.0,0,0.0,-0.01607983625356424,0,0.0,-0.05616528045447389
"set_[100, 150, 200]__x100_2_150_2_200_1",0.10699832790589192,0.10933246795674917,0.12352571101991221,0.8850988758050937,0.8850988758050937,-0.1825628231423544,6.0588791855306265,3.132943836874681,2.132943836874681,0.0,0.0,0.0,0.0,0,0.0,-0.016306565548704577,0,0.0,-0.055394678116598595
"set_[100, 200, 250]__x100_2_200_2_250_2",0.1080075258399964,0.11068033727686448,0.12701194045902922,0.871416788664583,0.871416788664583,-0.19335041008784182,6.399657448179571,3.1651803649440224,2.1651803649440224,0.0,0.0,0.0,0.0,0,0.0,-0.029988652689215245,0,0.0,-0.05438548018249412
sma250_3in_3out,0.12180759790071405,0.12545314767474883,0.14450253043454522,0.8681726700389851,0.8681726700389851,-0.2588429696261207,6.778465132813029,3.6373859707740435,2.6373859707740435,0.0,0.0,0.0,0.0,0,0.0,-0.03323277131481317,0,0.0,-0.04058540812177647
"set_[100, 200, 250]__x100_2_200_1_250_2",0.10622416445546845,0.10889766873946656,0.12565454404533147,0.8666433002230333,0.8666433002230333,-0.20780489304506833,6.20874771845165,3.1084179873355495,2.1084179873355495,0.0,0.0,0.0,0.0,0,0.0,-0.034762141130765034,0,0.0,-0.056168841567022065
"set_[100, 200, 250]__x100_1_200_2_250_1",0.10384528367433288,0.1065636579574836,0.12421395205958308,0.8579040936268338,0.8579040936268338,-0.16940350320724717,5.8766260075649654,3.0341443557786656,2.0341443557786656,0.0,0.0,0.0,0.0,0,0.0,-0.04350134772696446,0,0.0,-0.05854772234815764
"set_[100, 150, 200]__x100_1_150_1_200_2",0.10188418634830732,0.10450108193274531,0.12190348877352584,0.8572443904939343,0.8572443904939343,-0.1831124844348786,6.141817748636631,2.974134581980004,1.974134581980004,0.0,0.0,0.0,0.0,0,0.0,-0.04416105085986399,0,0.0,-0.0605088196741832
"set_[100, 150, 200]__x100_1_150_2_200_2",0.10261638078833779,0.10531513053195692,0.1231306659318347,0.8553119544586847,0.8553119544586847,-0.18283765378861666,6.273248353091809,2.996412143023503,1.9964121430235031,0.0,0.0,0.0,0.0,0,0.0,-0.04609348689511361,0,0.0,-0.059776625234152725
"set_[100, 200]__x100_1_200_2",0.10149887533177382,0.10413007562297194,0.12175031033788139,0.8552756484479607,0.8552756484479607,-0.16818117143125227,5.924975867808357,2.9624718993947368,1.9624718993947368,0.0,0.0,0.0,0.0,0,0.0,-0.04612979290583763,0,0.0,-0.0608941306907167
"set_[100, 200, 250]__x100_1_200_1_250_1",0.1019951426043264,0.1047809894200857,0.12337164838103241,0.8493117405424494,0.8493117405424494,-0.18495761855611217,5.7346771583272105,2.977500779382718,1.977500779382718,0.0,0.0,0.0,0.0,0,0.0,-0.0520937008113489,0,0.0,-0.06039786341816411
