variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_win_share,cagr_win_share,group
sma100_3in_3out,0.13690410703252276,0.13778260585815855,0.13724057912955281,1.0039494640145323,1.0039494640145323,-0.1931337528914529,7.24987043756461,3.1636451159415664,2.1636451159415664,1.0,0.0,strategy_rollup
sma150_3in_1out,0.1460768689373244,0.14559439741951322,0.13553650680929416,1.0742079816500727,1.0742079816500727,-0.14906960407524242,5.76901884994268,3.4002736883406373,2.4002736883406373,1.0,0.0,strategy_rollup
sma150_3in_2out,0.13707027925288418,0.13784555900741768,0.13659783830429573,1.009134263899129,1.009134263899129,-0.15907047554798528,6.494122161471158,3.1677981698992506,2.1677981698992506,1.0,0.0,strategy_rollup
sma150_3in_3out,0.15038708077770635,0.15031146849232274,0.1424777967484089,1.0549817018699887,1.0549817018699887,-0.17517888379031635,6.530011625377323,3.516796962275465,2.516796962275465,1.0,0.0,strategy_rollup
sma200_3in_1out,0.14035529384093692,0.1409371567064903,0.13809918104923302,1.0205502714476309,1.0205502714476309,-0.22994588710733474,8.688310936641116,3.2508995288171376,2.2508995288171376,1.0,0.0,strategy_rollup
sma200_3in_2out,0.14399441671796387,0.14438599328167603,0.13998498351065145,1.0314391562627125,1.0314391562627125,-0.22877178511283233,8.580980541921111,3.345215485862783,2.345215485862783,1.0,0.0,strategy_rollup
sma200_3in_3out,0.13883841011421572,0.14108311285460057,0.14830013987449397,0.9513349951928493,0.9513349951928493,-0.2012717434529412,7.925614153695788,3.2122890806258333,2.2122890806258333,0.0,0.0,strategy_rollup
sma250_3in_1out,0.11140464776340075,0.11583970361213053,0.14246786445537601,0.8130935636254589,0.8130935636254589,-0.2581766113231914,11.066386646340954,2.5808198011530123,1.5808198011530123,0.0,0.0,strategy_rollup
sma250_3in_2out,0.10620418449642477,0.11164450393669964,0.14583897803438206,0.7655326816016158,0.7655326816016158,-0.2704791452890543,11.269934864354745,2.4744231784060786,1.4744231784060786,0.0,0.0,strategy_rollup
sma250_3in_3out,0.1107371201478542,0.11626574367974772,0.14946292874904296,0.7778901741913858,0.7778901741913858,-0.2606512505481793,11.35475896466316,2.5669392501641446,1.5669392501641446,0.0,0.0,strategy_rollup
baseline_buyhold,0.19438625049762637,0.19904367943709347,0.20620077355019018,0.9652906534254363,0.9652906534254363,-0.3094753690370491,7.52777015541682,4.925682066293784,3.925682066293784,,,baseline_rollup
