window,ticker,variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
2009-07-13_2014-07-12,SPY,"set_[100, 200, 250]__x100_1_200_1_250_1",0.07417352626510731,0.07603329023210346,0.09454015197550748,0.8042433679586365,0.8042433679586365,-0.12278653157790197,5.015768511833704,1.4297131515660053,0.4297131515660053
2009-07-13_2014-07-12,IVW,"set_[100, 200, 250]__x100_2_200_1_250_1",0.07443488594274728,0.07691673465677214,0.10103464860388445,0.76129066334789,0.76129066334789,-0.1501009141422611,5.285190829185786,1.4314519505243255,0.4314519505243255
2009-07-13_2014-07-12,IWF,"set_[100, 200, 250]__x100_2_200_1_250_1",0.09073636722918432,0.09179198028238719,0.0992122985229434,0.9252076773643118,0.9252076773643118,-0.11708378091065604,4.386825735933505,1.543296197695974,0.543296197695974
2009-07-13_2014-07-12,QQQ,"set_[100, 200, 250]__x100_2_200_1_250_1",0.09502518241969948,0.0978948374471389,0.11912753184186015,0.8217650104351419,0.8217650104351419,-0.16623124139708254,5.949852664523676,1.5738527208184807,0.5738527208184807
2009-07-13_2014-07-12,SPY,"set_[100, 200, 250]__x100_2_200_1_250_1",0.08045011626829002,0.08195590389742657,0.09553910301031479,0.8578257625945922,0.8578257625945922,-0.11693862602235175,4.784905549845534,1.4719404858529617,0.47194048585296167
2009-07-13_2014-07-12,IVW,"set_[100, 200, 250]__x100_1_200_2_250_1",0.07698910202021803,0.0792123078015596,0.10024593575592515,0.7901797434902759,0.7901797434902759,-0.15672500196757125,5.292761793143368,1.4485340918651395,0.4485340918651395
2009-07-13_2014-07-12,IWF,"set_[100, 200, 250]__x100_1_200_2_250_1",0.08470754744725606,0.08615708186609242,0.0983026094608271,0.8764475565669029,0.8764475565669029,-0.1203277439521684,4.388279270276707,1.5011468540308945,0.5011468540308945
2009-07-13_2014-07-12,QQQ,"set_[100, 200, 250]__x100_1_200_2_250_1",0.08416250396630942,0.08777402732113168,0.11786329317756598,0.744710460354238,0.744710460354238,-0.1680003865109534,6.193670322819975,1.4973821499743876,0.49738214997438757
2009-07-13_2014-07-12,SPY,"set_[100, 200, 250]__x100_1_200_2_250_1",0.0749713443336768,0.076779634293419,0.09457905641868639,0.8118037671419327,0.8118037671419327,-0.12120488334912194,4.907557236668832,1.4350262517997345,0.43502625179973453
2009-07-13_2014-07-12,IVW,"set_[100, 200, 250]__x100_1_200_1_250_2",0.07832535485335934,0.0803588637972341,0.09932029249467053,0.8090880703109701,0.8090880703109701,-0.1379290689174754,4.622799493491173,1.4575354461453294,0.45753544614532937
2009-07-13_2014-07-12,IWF,"set_[100, 200, 250]__x100_1_200_1_250_2",0.0808315746437156,0.08254668064067507,0.09799686258749642,0.8423400347840048,0.8423400347840048,-0.12703042035207862,4.534390465259866,1.4745386359072947,0.4745386359072947
2009-07-13_2014-07-12,QQQ,"set_[100, 200, 250]__x100_1_200_1_250_2",0.08782588012044878,0.0910156562127863,0.11673650558484167,0.7796674721142653,0.7796674721142653,-0.16443256375924145,6.057529794685634,1.5228315182604124,0.5228315182604124
2009-07-13_2014-07-12,SPY,"set_[100, 200, 250]__x100_1_200_1_250_2",0.07584720030950143,0.07759582215243954,0.09459502244454722,0.8202949811437192,0.8202949811437192,-0.12322405479240016,5.004526399363665,1.4408772214383607,0.4408772214383607
2009-07-13_2014-07-12,IVW,"set_[100, 200, 250]__x100_2_200_2_250_1",0.07456454144336067,0.07718139779973612,0.10243733970801257,0.7534498457274857,0.7534498457274857,-0.16207641118016147,5.746643119664563,1.4323151626269794,0.43231516262697944
2009-07-13_2014-07-12,IWF,"set_[100, 200, 250]__x100_2_200_2_250_1",0.09260611454116163,0.0935684383409959,0.09985031400231136,0.9370870715422083,0.9370870715422083,-0.11738460826071541,4.340168179697579,1.5565586874557085,0.5565586874557085
2009-07-13_2014-07-12,QQQ,"set_[100, 200, 250]__x100_2_200_2_250_1",0.0897794056515071,0.093277915535635,0.12067206564830625,0.7729868137625954,0.7729868137625954,-0.17693474526155584,6.229185698908975,1.5365433356262062,0.5365433356262062
2009-07-13_2014-07-12,SPY,"set_[100, 200, 250]__x100_2_200_2_250_1",0.0812525961319901,0.08270224795874206,0.09557741716441041,0.8652906765253896,0.8652906765253896,-0.11534643380422789,4.704169572888701,1.4774105113128655,0.4774105113128655
2009-07-13_2014-07-12,IVW,"set_[100, 200, 250]__x100_2_200_1_250_2",0.07588842922710248,0.07832795379541062,0.10161847639612151,0.7708042530580608,0.7708042530580608,-0.14343697483249052,5.020627020237339,1.4411531119455383,0.4411531119455383
2009-07-13_2014-07-12,IWF,"set_[100, 200, 250]__x100_2_200_1_250_2",0.08870191788012605,0.08995803711557854,0.0995503881971419,0.9036432578990309,0.9036432578990309,-0.12410970992867773,4.4645327566658715,1.528968280183566,0.528968280183566
