strategy,start,end,months,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,best_year,worst_year,monthly_win_rate,total_return,switches,exposure_ADX,exposure_IEF,exposure_KYN,exposure_NMZ,exposure_RQI,lookbacks,defensive_asset,exposure_TLT,exposure_SHY,exposure_BIL,exposure_SGOV,exposure_Cash
sens_cefs_9m_IEF,2021-04-30,2026-05-31,62,0.1035408381571985,0.1204382735739876,0.6120169986447507,1.174174685672021,-0.11446257826503226,0.9045824384407538,0.2426632517579197,-0.0914604827701806,0.6129032258064516,0.6636939951703766,44,0.1814516129032258,0.34274193548387094,0.21370967741935484,0.12096774193548387,0.14112903225806453,9,IEF,,,,,
sens_cefs_9m_TLT,2021-04-30,2026-05-31,62,0.0871578517973528,0.1456829946210677,0.42534857563726697,0.825558610920217,-0.21771982962222125,0.4003211464412113,0.2415691184259463,-0.19452171523815853,0.532258064516129,0.5399683738869785,44,0.1814516129032258,,0.21370967741935484,0.12096774193548387,0.14112903225806453,9,TLT,0.34274193548387094,,,,
sens_cefs_9m_SHY,2021-04-30,2026-05-31,62,0.11057957286305076,0.10683452284173764,0.7354766045490178,1.3387388294646183,-0.07606398977180784,1.4537703477662656,0.24089782293796236,-0.02861418142922434,0.6129032258064516,0.7192539040293411,44,0.1814516129032258,,0.21370967741935484,0.12096774193548387,0.14112903225806453,9,SHY,,0.34274193548387094,,,
sens_cefs_9m_BIL,2021-04-30,2026-05-31,62,0.1173031702409546,0.1049137766392945,0.805048403471933,1.4060150090654047,-0.07718855601953745,1.5196963939999553,0.24236565620818018,0.00029257785021585825,0.6612903225806451,0.7737142712450173,44,0.1814516129032258,,0.21370967741935484,0.12096774193548387,0.14112903225806453,9,BIL,,,0.34274193548387094,,
sens_cefs_9m_SGOV,2021-04-30,2026-05-31,62,0.11792571492025283,0.10485836796617697,0.8107813183336612,1.4129379053797526,-0.07712996452245036,1.5289221984009598,0.2425526561661997,0.0014727823733302614,0.6612903225806451,0.7788263523137775,44,0.1814516129032258,,0.21370967741935484,0.12096774193548387,0.14112903225806453,9,SGOV,,,,0.34274193548387094,
sens_cefs_9m_Cash,2021-04-30,2026-05-31,62,0.10410720224218228,0.10526111563400418,0.688849933473252,1.2240327558467092,-0.07799849446287432,1.3347334837563456,0.2357381854516909,-0.010117931564436966,0.5806451612903226,0.668110264457171,44,0.1814516129032258,,0.21370967741935484,0.12096774193548387,0.14112903225806453,9,Cash,,,,,0.34274193548387094
sens_cefs_12m_IEF,2021-07-31,2026-05-31,59,0.07622045598079952,0.1225248305922817,0.38370475502896517,0.7248617224920005,-0.15435790525575166,0.4937904272185593,0.21427954360215185,-0.12757490976917563,0.5932203389830508,0.4349863691926179,28,0.1906779661016949,0.3389830508474576,0.2288135593220339,0.09745762711864407,0.1440677966101695,12,IEF,,,,,
sens_cefs_12m_TLT,2021-07-31,2026-05-31,59,0.06073963813610628,0.1466056851037225,0.24315325016762157,0.463727176843318,-0.256455712858463,0.23684260123941267,0.20388856612482753,-0.19731114250057846,0.5423728813559322,0.3363183242480159,28,0.1906779661016949,,0.2288135593220339,0.09745762711864407,0.1440677966101695,12,TLT,0.3389830508474576,,,,
sens_cefs_12m_SHY,2021-07-31,2026-05-31,59,0.08489592804824908,0.10775680943089828,0.4954766965260076,0.8937777137609586,-0.11834261078295771,0.7173741350353475,0.22419456667320614,-0.09489160325770774,0.5932203389830508,0.49276481209193435,28,0.1906779661016949,,0.2288135593220339,0.09745762711864407,0.1440677966101695,12,SHY,,0.3389830508474576,,,
sens_cefs_12m_BIL,2021-07-31,2026-05-31,59,0.09183175876872829,0.10504412741121517,0.5666007662082203,0.9936344841357746,-0.10488895542037835,0.8755140939356401,0.23048730501221093,-0.08004680743963755,0.6101694915254238,0.5402774955243221,28,0.1906779661016949,,0.2288135593220339,0.09745762711864407,0.1440677966101695,12,BIL,,,0.3389830508474576,,
sens_cefs_12m_SGOV,2021-07-31,2026-05-31,59,0.0924136287521069,0.10502264796379152,0.5718057844664725,1.0021151764530436,-0.10432910773215998,0.8857895055458231,0.23070007904538503,-0.07918857854787908,0.6271186440677966,0.544317605794417,28,0.1906779661016949,,0.2288135593220339,0.09745762711864407,0.1440677966101695,12,SGOV,,,,0.3389830508474576,
sens_cefs_12m_Cash,2021-07-31,2026-05-31,59,0.07756307139631247,0.10506898932813484,0.4404268761634825,0.7916433187313698,-0.10790210645997467,0.7188281484113918,0.22005475799552343,-0.08886807827208543,0.5423728813559322,0.44380964658675404,28,0.1906779661016949,,0.2288135593220339,0.09745762711864407,0.1440677966101695,12,Cash,,,,,0.3389830508474576
sens_cefs_3_7m_IEF,2021-02-28,2026-05-31,64,0.09709710510590353,0.11726399053839956,0.5841893478453053,1.1500573247921422,-0.1801637454257492,0.5389380914370484,0.2767791304787217,-0.11352643476539281,0.609375,0.6392317924408553,59,0.17578125,0.3359375,0.20703125,0.13671875,0.14453125,3+7,IEF,,,,,
sens_cefs_3_7m_TLT,2021-02-28,2026-05-31,64,0.07497753483743441,0.14235907857473493,0.35995762008226473,0.6871353823873725,-0.29543590438910095,0.25378612999822114,0.2767791304787217,-0.22660344864598125,0.5625,0.4704945001119649,59,0.17578125,,0.20703125,0.13671875,0.14453125,3+7,TLT,0.3359375,,,,
sens_cefs_3_7m_SHY,2021-02-28,2026-05-31,64,0.1040053896549662,0.10588909718294612,0.6946108225149881,1.2048111738479224,-0.11354764052624766,0.9159625789927737,0.2767791304787217,-0.03635497866470627,0.625,0.6950390159206621,59,0.17578125,,0.20703125,0.13671875,0.14453125,3+7,SHY,,0.3359375,,,
sens_cefs_3_7m_BIL,2021-02-28,2026-05-31,64,0.10978993641826329,0.10452150925716511,0.7527202228996935,1.278131843345787,-0.08406815869939943,1.305963376821855,0.2767791304787217,-0.048172314871954836,0.640625,0.7429469645145632,59,0.17578125,,0.20703125,0.13671875,0.14453125,3+7,BIL,,,0.3359375,,
sens_cefs_3_7m_SGOV,2021-02-28,2026-05-31,64,0.11031342783045561,0.1044773878620522,0.7575480791510387,1.272055312641413,-0.08347403469653825,1.3215298413631182,0.2767791304787217,-0.0473578480208342,0.640625,0.7473362673385042,59,0.17578125,,0.20703125,0.13671875,0.14453125,3+7,SGOV,,,,0.3359375,
sens_cefs_3_7m_Cash,2021-02-28,2026-05-31,64,0.09767129307211131,0.10505923828164225,0.6440020935092591,1.113023164539489,-0.11043468066146733,0.884425911200109,0.2767791304787217,-0.07225155206976686,0.5625,0.6438125847045979,59,0.17578125,,0.20703125,0.13671875,0.14453125,3+7,Cash,,,,,0.3359375
