Date,SMA100,SMA150,SMA200,BuyAndHold
2005-05-12,0.6323165645258756,0.8567270638739236,0.913259889519714,0.853457510373506
2005-05-13,0.6323165645258756,0.8567270638739236,0.9114482497851032,0.8517645010173108
2005-05-16,0.6323165645258756,0.8567270638739236,0.9199547394072762,0.8597139659377245
2005-05-17,0.6323165645258756,0.8567270638739236,0.9260985840666979,0.8654554973761732
2005-05-18,0.6323165645258756,0.8655433823868937,0.9356287838652467,0.8743616375524478
2005-05-19,0.6349779867292642,0.8691864569244203,0.939566848055255,0.8780418281508361
2005-05-20,0.6340730484795083,0.867947736705012,0.938227825291037,0.8767904877078829
2005-05-23,0.6375860758439517,0.8727565267289108,0.9434259961204601,0.8816482702356021
2005-05-24,0.6360958411335783,0.8707166263623372,0.9412209194737873,0.8795875871303341
2005-05-25,0.6356167351929388,0.8700608045799461,0.9405119940181981,0.8789250837604711
2005-05-26,0.6390232747515141,0.8747238293007594,0.9455525965315428,0.8836356159114933
2005-05-27,0.6400878555243051,0.8761810753933026,0.9471278398031147,0.8851077085942185
2005-05-31,0.6359890560418201,0.8705704541209406,0.9410629112684961,0.8794399256693919
2005-06-01,0.6414186855403555,0.8780027754373905,0.949097047853804,0.8869479683271108
2005-06-02,0.6428026702735729,0.8798972360515275,0.9511449080957686,0.8888617299230779
2005-06-03,0.6395553570377865,0.8754521674902132,0.9463399102448796,0.8843713744938841
2005-06-06,0.6389701794915251,0.8746511501183724,0.94547403231811,0.8835621962652676
2005-06-07,0.6394490476034524,0.8753066463501145,0.9461826058623289,0.8842243707677344
2005-06-08,0.6382782168535055,0.873703960505135,0.944450146186049,0.8826053565757086
2005-06-09,0.6413121977344873,0.877857010134305,0.9489394795377254,0.8868007179504137
2005-06-10,0.6398217846525799,0.8758168656047447,0.9467341389575249,0.8847397881945986
2005-06-13,0.641844696221006,0.8785859180373944,0.9497274090959604,0.8875370520507481
2005-06-14,0.6433349309313794,0.8806258184039679,0.9519324857426332,0.8895977351560159
2005-06-15,0.6445593325987397,0.8823018345326326,0.9537442134550866,0.8912908267290602
2005-06-16,0.6462096260323943,0.8845608304859766,0.9561861264540114,0.8935728375920435
2005-06-17,0.6486036693061408,0.8878379047063757,0.9597285542858929,0.8968832990201321
2005-06-20,0.6488174178611914,0.8881304933521557,0.9600448346300033,0.8971788685925641
2005-06-21,0.6491917602541258,0.8886429100736665,0.9605987431269492,0.8976965058743533
2005-06-22,0.6497259829988077,0.8893741782189611,0.9613892240426193,0.898435224263311
2005-06-23,0.6405871769054777,0.8768645689808577,0.9478666777251842,0.8857981656927677
2005-06-24,0.6358837573795125,0.8704263165710999,0.9409071025092691,0.8792943196296763
2005-06-27,0.6367923225171288,0.8716700014379053,0.942251491921885,0.8805506753004231
2005-06-28,0.642136630965178,0.8789855314590299,0.9501593803030765,0.8879407367797164
2005-06-29,0.6404265236104159,0.8766446595174647,0.9476289615945063,0.8855760157665614
